bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
20,18,9,0,1,6.460708414836943e-9,7.0,11.0,-899539.0,-1.54779163e8,in,out,9.997467391574059e-9,0.6462345073795467
19,20,6,1,1,6.436538092644967e-9,1.828264e6,-1.52474967e8,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.810949722013718e-9,0.6560565770918918
23,14,9,0,1,6.364793104054299e-9,-1.37609713e8,7.5818688e7,-16.0,-3.0,out,in,6.820723209668623e-8,0.09331551667471234
21,19,9,0,1,6.291024674648246e-9,75.0,2.0,-1.46572768e8,6.151104e7,in,out,9.997622874752785e-9,0.6292520485579735
19,9,9,0,1,5.4354164838440095e-9,19381.0,1.83978537e8,-46.0,-4.0,out,in,9.983012332496165e-8,0.05444665700903658
22,21,9,0,1,5.350079834479354e-9,-1.16004885e8,1.46558428e8,0.0,-1.0,out,in,9.933446711975822e-9,0.538592493583246
19,20,9,0,1,5.349123461634974e-9,0.0,1.0,-1.86900575e8,4.144307e6,in,out,9.998764456282792e-9,0.5349784450891646
18,14,9,0,1,5.17277888400974e-9,-1.9331969e8,1983.0,-2.0,45.0,out,in,9.999629113108721e-9,0.5172970742713484
15,18,6,1,1,5.088517753180468e-9,0.0,0.0,-16.0,-1.92881607e8,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.81370880979376e-9,0.5185111818380319
17,18,9,0,1,4.91999591779268e-9,3.0,1.0,-2.03252198e8,-8117.0,in,out,9.998973391728229e-9,0.49205010605016763
25,14,9,0,1,4.648869965808401e-9,-1.40356423e8,1.63005134e8,-28.0,-50.0,out,in,9.78451709655189e-9,0.47512513085052344
22,17,9,0,1,4.6402272230746285e-9,1.046267e7,-2.15252568e8,18.0,-6.0,out,in,6.480834125311224e-8,0.07159922833006924
20,11,9,0,1,4.562837983282428e-9,-2.19161875e8,1406.0,-28.0,-50.0,out,in,9.994655854625609e-9,0.45652777340709627
18,19,9,0,1,4.533112583034994e-9,7.0,0.0,-2.205974e8,832364.0,in,out,9.99971136222922e-9,0.45332434295627855
22,27,9,0,1,4.437815557601886e-9,-1.56660415e8,-1.61968722e8,0.0,1.0,out,in,7.0065135266204554e-9,0.6333842846004519
