A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
999999999999999999,-88,"BoundsError(999999999999999999, -88)",error,BoundsError,1.0,1000000000000000000,-88,"BoundsError(1000000000000000000, -88)",error,BoundsError,2
999999999,-19,"BoundsError(999999999, -19)",error,BoundsError,1.0,1000000000,-19,"BoundsError(1000000000, -19)",error,BoundsError,2
999999999,-24,"BoundsError(999999999, -24)",error,BoundsError,1.0,1000000000,-24,"BoundsError(1000000000, -24)",error,BoundsError,2
999999999,-29,"BoundsError(999999999, -29)",error,BoundsError,1.0,1000000000,-29,"BoundsError(1000000000, -29)",error,BoundsError,2
999999999,-40,"BoundsError(999999999, -40)",error,BoundsError,1.0,1000000000,-40,"BoundsError(1000000000, -40)",error,BoundsError,2
999999999,-73,"BoundsError(999999999, -73)",error,BoundsError,1.0,1000000000,-73,"BoundsError(1000000000, -73)",error,BoundsError,2
999999999,-98,"BoundsError(999999999, -98)",error,BoundsError,1.0,1000000000,-98,"BoundsError(1000000000, -98)",error,BoundsError,2
999999999,-101,"BoundsError(999999999, -101)",error,BoundsError,1.0,1000000000,-101,"BoundsError(1000000000, -101)",error,BoundsError,3
99999999,-55,"BoundsError(99999999, -55)",error,BoundsError,1.0,100000000,-55,"BoundsError(100000000, -55)",error,BoundsError,2
62420,false,"BoundsError(0xf3d4, 0)",error,BoundsError,10.0,62420,true,"TypeError(:<:, """", Type, 0xf3d4)",error,TypeError,2
62219,false,"BoundsError(0xf30b, 0)",error,BoundsError,10.0,62219,true,"TypeError(:<:, """", Type, 0xf30b)",error,TypeError,2
46055,false,"BoundsError(0xb3e7, 0)",error,BoundsError,10.0,46055,true,"TypeError(:<:, """", Type, 0xb3e7)",error,TypeError,2
28275,false,"BoundsError(0x6e73, 0)",error,BoundsError,10.0,28275,true,"TypeError(:<:, """", Type, 0x6e73)",error,TypeError,3
27930,false,"BoundsError(27930, 0)",error,BoundsError,10.0,27930,true,"TypeError(:<:, """", Type, 27930)",error,TypeError,2
19965,false,"BoundsError(0x4dfd, 0)",error,BoundsError,10.0,19965,true,"TypeError(:<:, """", Type, 0x4dfd)",error,TypeError,2
18256,false,"BoundsError(18256, 0)",error,BoundsError,10.0,18256,true,"TypeError(:<:, """", Type, 18256)",error,TypeError,2
10501,false,"BoundsError(0x2905, 0)",error,BoundsError,10.0,10501,true,"TypeError(:<:, """", Type, 0x2905)",error,TypeError,2
9999,-2,"BoundsError(9999, -2)",error,BoundsError,1.0,10000,-2,"BoundsError(10000, -2)",error,BoundsError,2
9999,-33,"BoundsError(9999, -33)",error,BoundsError,1.0,10000,-33,"BoundsError(10000, -33)",error,BoundsError,2
9999,-36,"BoundsError(9999, -36)",error,BoundsError,1.0,10000,-36,"BoundsError(10000, -36)",error,BoundsError,2
9999,-61,"BoundsError(9999, -61)",error,BoundsError,1.0,10000,-61,"BoundsError(10000, -61)",error,BoundsError,2
9999,-83,"BoundsError(9999, -83)",error,BoundsError,1.0,10000,-83,"BoundsError(10000, -83)",error,BoundsError,2
9999,-86,"BoundsError(9999, -86)",error,BoundsError,1.0,10000,-86,"BoundsError(10000, -86)",error,BoundsError,2
9999,-101,"BoundsError(9999, -101)",error,BoundsError,1.0,10000,-101,"BoundsError(10000, -101)",error,BoundsError,2
5385,false,"BoundsError(5385, 0)",error,BoundsError,10.0,5385,true,"TypeError(:<:, """", Type, 5385)",error,TypeError,2
2731,false,"BoundsError(0x0aab, 0)",error,BoundsError,10.0,2731,true,"TypeError(:<:, """", Type, 0x0aab)",error,TypeError,2
255,false,"BoundsError(0xff, 0)",error,BoundsError,10.0,255,true,"TypeError(:<:, """", Type, 0xff)",error,TypeError,5
254,false,"BoundsError(0xfe, 0)",error,BoundsError,10.0,254,true,"TypeError(:<:, """", Type, 0xfe)",error,TypeError,3
253,false,"BoundsError(0xfd, 0)",error,BoundsError,10.0,253,true,"TypeError(:<:, """", Type, 0xfd)",error,TypeError,2
252,false,"BoundsError(0xfc, 0)",error,BoundsError,10.0,252,true,"TypeError(:<:, """", Type, 0xfc)",error,TypeError,7
250,false,"BoundsError(0xfa, 0)",error,BoundsError,10.0,250,true,"TypeError(:<:, """", Type, 0xfa)",error,TypeError,4
