A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
999999999,-13,"BoundsError(999999999, -13)",error,BoundsError,1.0,1000000000,-13,"BoundsError(1000000000, -13)",error,BoundsError,2
999999999,-14,"BoundsError(999999999, -14)",error,BoundsError,1.0,1000000000,-14,"BoundsError(1000000000, -14)",error,BoundsError,2
999999999,-24,"BoundsError(999999999, -24)",error,BoundsError,1.0,1000000000,-24,"BoundsError(1000000000, -24)",error,BoundsError,2
999999999,-29,"BoundsError(999999999, -29)",error,BoundsError,1.0,1000000000,-29,"BoundsError(1000000000, -29)",error,BoundsError,3
999999999,-53,"BoundsError(999999999, -53)",error,BoundsError,1.0,1000000000,-53,"BoundsError(1000000000, -53)",error,BoundsError,2
999999999,-78,"BoundsError(999999999, -78)",error,BoundsError,1.0,1000000000,-78,"BoundsError(1000000000, -78)",error,BoundsError,2
999999999,-93,"BoundsError(999999999, -93)",error,BoundsError,1.0,1000000000,-93,"BoundsError(1000000000, -93)",error,BoundsError,3
999999999,-101,"BoundsError(999999999, -101)",error,BoundsError,1.0,1000000000,-101,"BoundsError(1000000000, -101)",error,BoundsError,2
99999999,-47,"BoundsError(99999999, -47)",error,BoundsError,1.0,100000000,-47,"BoundsError(100000000, -47)",error,BoundsError,2
99999999,-127,"BoundsError(99999999, -127)",error,BoundsError,1.0,100000000,-127,"BoundsError(100000000, -127)",error,BoundsError,2
50240,false,"BoundsError(0xc440, 0)",error,BoundsError,10.0,50240,true,"TypeError(:<:, """", Type, 0xc440)",error,TypeError,2
36894,false,"BoundsError(0x901e, 0)",error,BoundsError,10.0,36894,true,"TypeError(:<:, """", Type, 0x901e)",error,TypeError,2
33405,false,"BoundsError(0x827d, 0)",error,BoundsError,10.0,33405,true,"TypeError(:<:, """", Type, 0x827d)",error,TypeError,2
28600,-10000,"BoundsError(0x6fb8, -10000)",error,BoundsError,1.0,28600,-9999,"BoundsError(0x6fb8, -9999)",error,BoundsError,2
21166,false,"BoundsError(0x52ae, 0)",error,BoundsError,10.0,21166,true,"TypeError(:<:, """", Type, 0x52ae)",error,TypeError,2
18538,false,"BoundsError(0x486a, 0)",error,BoundsError,10.0,18538,true,"TypeError(:<:, """", Type, 0x486a)",error,TypeError,2
15719,false,"BoundsError(0x3d67, 0)",error,BoundsError,10.0,15719,true,"TypeError(:<:, """", Type, 0x3d67)",error,TypeError,2
9999,-14,"BoundsError(9999, -14)",error,BoundsError,1.0,10000,-14,"BoundsError(10000, -14)",error,BoundsError,2
9999,-30,"BoundsError(9999, -30)",error,BoundsError,1.0,10000,-30,"BoundsError(10000, -30)",error,BoundsError,2
9999,-35,"BoundsError(9999, -35)",error,BoundsError,1.0,10000,-35,"BoundsError(10000, -35)",error,BoundsError,3
9999,-120,"BoundsError(9999, -120)",error,BoundsError,1.0,10000,-120,"BoundsError(10000, -120)",error,BoundsError,2
9999,-121,"BoundsError(9999, -121)",error,BoundsError,1.0,10000,-121,"BoundsError(10000, -121)",error,BoundsError,2
999,-89,"BoundsError(999, -89)",error,BoundsError,1.0,1000,-89,"BoundsError(1000, -89)",error,BoundsError,2
255,false,"BoundsError(0xff, 0)",error,BoundsError,10.0,255,true,"TypeError(:<:, """", Type, 0xff)",error,TypeError,10
254,false,"BoundsError(0xfe, 0)",error,BoundsError,10.0,254,true,"TypeError(:<:, """", Type, 0xfe)",error,TypeError,6
252,false,"BoundsError(0xfc, 0)",error,BoundsError,10.0,252,true,"TypeError(:<:, """", Type, 0xfc)",error,TypeError,6
251,0,"BoundsError(0xfb, 0)",error,BoundsError,10.0,251,1,"TypeError(:<:, """", Type, 0xfb)",error,TypeError,7
250,false,"BoundsError(0xfa, 0)",error,BoundsError,10.0,250,true,"TypeError(:<:, """", Type, 0xfa)",error,TypeError,8
249,false,"BoundsError(0xf9, 0)",error,BoundsError,10.0,249,true,"TypeError(:<:, """", Type, 0xf9)",error,TypeError,7
249,-100,"BoundsError(0xf9, -100)",error,BoundsError,1.0,249,-99,"BoundsError(0xf9, -99)",error,BoundsError,2
248,false,"BoundsError(0xf8, 0)",error,BoundsError,10.0,248,true,"TypeError(:<:, """", Type, 0xf8)",error,TypeError,9
248,-10,"BoundsError(0xf8, -10)",error,BoundsError,1.0,248,-9,"BoundsError(0xf8, -9)",error,BoundsError,2
248,-1000000000,"BoundsError(0xf8, -1000000000)",error,BoundsError,1.0,248,-999999999,"BoundsError(0xf8, -999999999)",error,BoundsError,3
247,false,"BoundsError(0xf7, 0)",error,BoundsError,10.0,247,true,"TypeError(:<:, """", Type, 0xf7)",error,TypeError,6
246,false,"BoundsError(0xf6, 0)",error,BoundsError,10.0,246,true,"TypeError(:<:, """", Type, 0xf6)",error,TypeError,3
246,-100,"BoundsError(0xf6, -100)",error,BoundsError,1.0,246,-99,"BoundsError(0xf6, -99)",error,BoundsError,2
245,false,"BoundsError(0xf5, 0)",error,BoundsError,10.0,245,true,"TypeError(:<:, """", Type, 0xf5)",error,TypeError,5
245,-1000000000,"BoundsError(0xf5, -1000000000)",error,BoundsError,1.0,245,-999999999,"BoundsError(0xf5, -999999999)",error,BoundsError,2
244,false,"BoundsError(0xf4, 0)",error,BoundsError,10.0,244,true,"TypeError(:<:, """", Type, 0xf4)",error,TypeError,2
244,-1000000000,"BoundsError(0xf4, -1000000000)",error,BoundsError,1.0,244,-999999999,"BoundsError(0xf4, -999999999)",error,BoundsError,2
243,false,"BoundsError(0xf3, 0)",error,BoundsError,10.0,243,true,"TypeError(:<:, """", Type, 0xf3)",error,TypeError,4
241,false,"BoundsError(0xf1, 0)",error,BoundsError,10.0,241,true,"TypeError(:<:, """", Type, 0xf1)",error,TypeError,5
240,false,"BoundsError(0xf0, 0)",error,BoundsError,10.0,240,true,"TypeError(:<:, """", Type, 0xf0)",error,TypeError,6
240,-10,"BoundsError(0xf0, -10)",error,BoundsError,1.0,240,-9,"BoundsError(0xf0, -9)",error,BoundsError,2
240,-10000,"BoundsError(0xf0, -10000)",error,BoundsError,1.0,240,-9999,"BoundsError(0xf0, -9999)",error,BoundsError,2
239,false,"BoundsError(0xef, 0)",error,BoundsError,10.0,239,true,"TypeError(:<:, """", Type, 0xef)",error,TypeError,5
238,false,"BoundsError(0xee, 0)",error,BoundsError,10.0,238,true,"TypeError(:<:, """", Type, 0xee)",error,TypeError,6
237,false,"BoundsError(0xed, 0)",error,BoundsError,10.0,237,true,"TypeError(:<:, """", Type, 0xed)",error,TypeError,6
236,false,"BoundsError(0xec, 0)",error,BoundsError,10.0,236,true,"TypeError(:<:, """", Type, 0xec)",error,TypeError,5
235,false,"BoundsError(0xeb, 0)",error,BoundsError,10.0,235,true,"TypeError(:<:, """", Type, 0xeb)",error,TypeError,6
234,false,"BoundsError(0xea, 0)",error,BoundsError,10.0,234,true,"TypeError(:<:, """", Type, 0xea)",error,TypeError,9
234,-10000,"BoundsError(0xea, -10000)",error,BoundsError,1.0,234,-9999,"BoundsError(0xea, -9999)",error,BoundsError,2
233,false,"BoundsError(0xe9, 0)",error,BoundsError,10.0,233,true,"TypeError(:<:, """", Type, 0xe9)",error,TypeError,5
231,false,"BoundsError(0xe7, 0)",error,BoundsError,10.0,231,true,"TypeError(:<:, """", Type, 0xe7)",error,TypeError,6
230,false,"BoundsError(0xe6, 0)",error,BoundsError,10.0,230,true,"TypeError(:<:, """", Type, 0xe6)",error,TypeError,12
230,-10000,"BoundsError(0xe6, -10000)",error,BoundsError,1.0,230,-9999,"BoundsError(0xe6, -9999)",error,BoundsError,2
229,false,"BoundsError(0xe5, 0)",error,BoundsError,10.0,229,true,"TypeError(:<:, """", Type, 0xe5)",error,TypeError,6
229,-10,"BoundsError(0xe5, -10)",error,BoundsError,1.0,229,-9,"BoundsError(0xe5, -9)",error,BoundsError,2
227,false,"BoundsError(0xe3, 0)",error,BoundsError,10.0,227,true,"TypeError(:<:, """", Type, 0xe3)",error,TypeError,2
226,false,"BoundsError(0xe2, 0)",error,BoundsError,10.0,226,true,"TypeError(:<:, """", Type, 0xe2)",error,TypeError,4
226,-1000000000,"BoundsError(0xe2, -1000000000)",error,BoundsError,1.0,226,-999999999,"BoundsError(0xe2, -999999999)",error,BoundsError,3
225,false,"BoundsError(0xe1, 0)",error,BoundsError,10.0,225,true,"TypeError(:<:, """", Type, 0xe1)",error,TypeError,3
