A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
999999999,-46,"BoundsError(999999999, -46)",error,BoundsError,1.0,1000000000,-46,"BoundsError(1000000000, -46)",error,BoundsError,2
999999999,-58,"BoundsError(999999999, -58)",error,BoundsError,1.0,1000000000,-58,"BoundsError(1000000000, -58)",error,BoundsError,2
999999999,-62,"BoundsError(999999999, -62)",error,BoundsError,1.0,1000000000,-62,"BoundsError(1000000000, -62)",error,BoundsError,2
999999999,-69,"BoundsError(999999999, -69)",error,BoundsError,1.0,1000000000,-69,"BoundsError(1000000000, -69)",error,BoundsError,2
999999999,-114,"BoundsError(999999999, -114)",error,BoundsError,1.0,1000000000,-114,"BoundsError(1000000000, -114)",error,BoundsError,3
999999999,-117,"BoundsError(999999999, -117)",error,BoundsError,1.0,1000000000,-117,"BoundsError(1000000000, -117)",error,BoundsError,2
99999999,-15,"BoundsError(99999999, -15)",error,BoundsError,1.0,100000000,-15,"BoundsError(100000000, -15)",error,BoundsError,2
51704,false,"BoundsError(0xc9f8, 0)",error,BoundsError,10.0,51704,true,"TypeError(:<:, """", Type, 0xc9f8)",error,TypeError,2
44669,false,"BoundsError(0xae7d, 0)",error,BoundsError,10.0,44669,true,"TypeError(:<:, """", Type, 0xae7d)",error,TypeError,2
12202,false,"BoundsError(0x2faa, 0)",error,BoundsError,10.0,12202,true,"TypeError(:<:, """", Type, 0x2faa)",error,TypeError,2
9999,-69,"BoundsError(9999, -69)",error,BoundsError,1.0,10000,-69,"BoundsError(10000, -69)",error,BoundsError,2
9999,-71,"BoundsError(9999, -71)",error,BoundsError,1.0,10000,-71,"BoundsError(10000, -71)",error,BoundsError,2
9999,-95,"BoundsError(9999, -95)",error,BoundsError,1.0,10000,-95,"BoundsError(10000, -95)",error,BoundsError,2
9157,false,"BoundsError(0x23c5, 0)",error,BoundsError,10.0,9157,true,"TypeError(:<:, """", Type, 0x23c5)",error,TypeError,2
3902,false,"BoundsError(0x0f3e, 0)",error,BoundsError,10.0,3902,true,"TypeError(:<:, """", Type, 0x0f3e)",error,TypeError,2
255,false,"BoundsError(0xff, 0)",error,BoundsError,10.0,255,true,"TypeError(:<:, """", Type, 0xff)",error,TypeError,5
254,false,"BoundsError(0xfe, 0)",error,BoundsError,10.0,254,true,"TypeError(:<:, """", Type, 0xfe)",error,TypeError,4
253,-1000000000,"BoundsError(0xfd, -1000000000)",error,BoundsError,1.0,253,-999999999,"BoundsError(0xfd, -999999999)",error,BoundsError,3
252,false,"BoundsError(0xfc, 0)",error,BoundsError,10.0,252,true,"TypeError(:<:, """", Type, 0xfc)",error,TypeError,7
251,false,"BoundsError(0xfb, 0)",error,BoundsError,10.0,251,true,"TypeError(:<:, """", Type, 0xfb)",error,TypeError,7
250,false,"BoundsError(0xfa, 0)",error,BoundsError,10.0,250,true,"TypeError(:<:, """", Type, 0xfa)",error,TypeError,10
249,false,"BoundsError(0xf9, 0)",error,BoundsError,10.0,249,true,"TypeError(:<:, """", Type, 0xf9)",error,TypeError,2
249,-10000,"BoundsError(0xf9, -10000)",error,BoundsError,1.0,249,-9999,"BoundsError(0xf9, -9999)",error,BoundsError,2
248,-10000,"BoundsError(0xf8, -10000)",error,BoundsError,1.0,248,-9999,"BoundsError(0xf8, -9999)",error,BoundsError,2
247,false,"BoundsError(0xf7, 0)",error,BoundsError,10.0,247,true,"TypeError(:<:, """", Type, 0xf7)",error,TypeError,5
