A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
999999999,-4,"BoundsError(999999999, -4)",error,BoundsError,1.0,1000000000,-4,"BoundsError(1000000000, -4)",error,BoundsError,2
999999999,-18,"BoundsError(999999999, -18)",error,BoundsError,1.0,1000000000,-18,"BoundsError(1000000000, -18)",error,BoundsError,2
999999999,-23,"BoundsError(999999999, -23)",error,BoundsError,1.0,1000000000,-23,"BoundsError(1000000000, -23)",error,BoundsError,3
999999999,-58,"BoundsError(999999999, -58)",error,BoundsError,1.0,1000000000,-58,"BoundsError(1000000000, -58)",error,BoundsError,2
999999999,-74,"BoundsError(999999999, -74)",error,BoundsError,1.0,1000000000,-74,"BoundsError(1000000000, -74)",error,BoundsError,2
999999999,-78,"BoundsError(999999999, -78)",error,BoundsError,1.0,1000000000,-78,"BoundsError(1000000000, -78)",error,BoundsError,2
999999999,-104,"BoundsError(999999999, -104)",error,BoundsError,1.0,1000000000,-104,"BoundsError(1000000000, -104)",error,BoundsError,2
999999999,-106,"BoundsError(999999999, -106)",error,BoundsError,1.0,1000000000,-106,"BoundsError(1000000000, -106)",error,BoundsError,2
99999999,-90,"BoundsError(99999999, -90)",error,BoundsError,1.0,100000000,-90,"BoundsError(100000000, -90)",error,BoundsError,2
99999999,-114,"BoundsError(99999999, -114)",error,BoundsError,1.0,100000000,-114,"BoundsError(100000000, -114)",error,BoundsError,2
99999999,-121,"BoundsError(99999999, -121)",error,BoundsError,1.0,100000000,-121,"BoundsError(100000000, -121)",error,BoundsError,2
65179,false,"BoundsError(0xfe9b, 0)",error,BoundsError,10.0,65179,true,"TypeError(:<:, """", Type, 0xfe9b)",error,TypeError,2
54060,false,"BoundsError(0xd32c, 0)",error,BoundsError,10.0,54060,true,"TypeError(:<:, """", Type, 0xd32c)",error,TypeError,2
52327,false,"BoundsError(0xcc67, 0)",error,BoundsError,10.0,52327,true,"TypeError(:<:, """", Type, 0xcc67)",error,TypeError,2
41251,false,"BoundsError(0xa123, 0)",error,BoundsError,10.0,41251,true,"TypeError(:<:, """", Type, 0xa123)",error,TypeError,2
37585,false,"BoundsError(0x92d1, 0)",error,BoundsError,10.0,37585,true,"TypeError(:<:, """", Type, 0x92d1)",error,TypeError,2
26451,false,"BoundsError(26451, 0)",error,BoundsError,10.0,26451,true,"TypeError(:<:, """", Type, 26451)",error,TypeError,2
16585,false,"BoundsError(16585, 0)",error,BoundsError,10.0,16585,true,"TypeError(:<:, """", Type, 16585)",error,TypeError,2
15543,false,"BoundsError(0x3cb7, 0)",error,BoundsError,10.0,15543,true,"TypeError(:<:, """", Type, 0x3cb7)",error,TypeError,2
11324,false,"BoundsError(11324, 0)",error,BoundsError,10.0,11324,true,"TypeError(:<:, """", Type, 11324)",error,TypeError,2
9999,-50,"BoundsError(9999, -50)",error,BoundsError,1.0,10000,-50,"BoundsError(10000, -50)",error,BoundsError,2
9999,-57,"BoundsError(9999, -57)",error,BoundsError,1.0,10000,-57,"BoundsError(10000, -57)",error,BoundsError,2
9999,-75,"BoundsError(9999, -75)",error,BoundsError,1.0,10000,-75,"BoundsError(10000, -75)",error,BoundsError,2
9999,-80,"BoundsError(9999, -80)",error,BoundsError,1.0,10000,-80,"BoundsError(10000, -80)",error,BoundsError,2
9039,false,"BoundsError(9039, 0)",error,BoundsError,10.0,9039,true,"TypeError(:<:, """", Type, 9039)",error,TypeError,2
999,-27,"BoundsError(999, -27)",error,BoundsError,1.0,1000,-27,"BoundsError(1000, -27)",error,BoundsError,2
999,-78,"BoundsError(999, -78)",error,BoundsError,1.0,1000,-78,"BoundsError(1000, -78)",error,BoundsError,2
255,false,"BoundsError(0xff, 0)",error,BoundsError,10.0,255,true,"TypeError(:<:, """", Type, 0xff)",error,TypeError,7
254,false,"BoundsError(0xfe, 0)",error,BoundsError,10.0,254,true,"TypeError(:<:, """", Type, 0xfe)",error,TypeError,3
253,false,"BoundsError(0xfd, 0)",error,BoundsError,10.0,253,true,"TypeError(:<:, """", Type, 0xfd)",error,TypeError,10
251,false,"BoundsError(0xfb, 0)",error,BoundsError,10.0,251,true,"TypeError(:<:, """", Type, 0xfb)",error,TypeError,2
250,false,"BoundsError(0xfa, 0)",error,BoundsError,10.0,250,true,"TypeError(:<:, """", Type, 0xfa)",error,TypeError,8
250,-1000,"BoundsError(0xfa, -1000)",error,BoundsError,1.0,250,-999,"BoundsError(0xfa, -999)",error,BoundsError,2
249,false,"BoundsError(0xf9, 0)",error,BoundsError,10.0,249,true,"TypeError(:<:, """", Type, 0xf9)",error,TypeError,4
247,false,"BoundsError(0xf7, 0)",error,BoundsError,10.0,247,true,"TypeError(:<:, """", Type, 0xf7)",error,TypeError,4
246,false,"BoundsError(0xf6, 0)",error,BoundsError,10.0,246,true,"TypeError(:<:, """", Type, 0xf6)",error,TypeError,2
245,false,"BoundsError(0xf5, 0)",error,BoundsError,10.0,245,true,"TypeError(:<:, """", Type, 0xf5)",error,TypeError,5
