A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
44323,1,"TypeError(:<:, """", Type, 0xad23)",error,TypeError,27.0,44323,2,44323,valid,UInt16,2
19773,1,"TypeError(:<:, """", Type, 19773)",error,TypeError,26.0,19773,2,19773,valid,Int64,2
8761,1,"TypeError(:<:, """", Type, 8761)",error,TypeError,26.0,8761,2,8761,valid,Int64,2
4176,1,"TypeError(:<:, """", Type, 0x1050)",error,TypeError,28.0,4176,2,4176,valid,UInt16,2
253,1,"TypeError(:<:, """", Type, 0xfd)",error,TypeError,27.0,253,2,253,valid,UInt8,4
250,1,"TypeError(:<:, """", Type, 0xfa)",error,TypeError,27.0,250,2,250,valid,UInt8,3
249,1,"TypeError(:<:, """", Type, 0xf9)",error,TypeError,27.0,249,2,249,valid,UInt8,3
248,1,"TypeError(:<:, """", Type, 0xf8)",error,TypeError,27.0,248,2,248,valid,UInt8,5
247,1,"TypeError(:<:, """", Type, 0xf7)",error,TypeError,27.0,247,2,247,valid,UInt8,2
244,1,"TypeError(:<:, """", Type, 0xf4)",error,TypeError,27.0,244,2,244,valid,UInt8,3
240,1,"TypeError(:<:, """", Type, 0xf0)",error,TypeError,27.0,240,2,240,valid,UInt8,3
239,1,"TypeError(:<:, """", Type, 0xef)",error,TypeError,27.0,239,2,239,valid,UInt8,2
234,1,"TypeError(:<:, """", Type, 0xea)",error,TypeError,27.0,234,2,234,valid,UInt8,2
232,1,"TypeError(:<:, """", Type, 0xe8)",error,TypeError,27.0,232,2,232,valid,UInt8,2
228,1,"TypeError(:<:, """", Type, 0xe4)",error,TypeError,27.0,228,2,228,valid,UInt8,3
227,1,"TypeError(:<:, """", Type, 0xe3)",error,TypeError,27.0,227,2,227,valid,UInt8,3
225,1,"TypeError(:<:, """", Type, 0xe1)",error,TypeError,27.0,225,2,225,valid,UInt8,2
224,1,"TypeError(:<:, """", Type, 0xe0)",error,TypeError,27.0,224,2,224,valid,UInt8,3
222,1,"TypeError(:<:, """", Type, 0xde)",error,TypeError,27.0,222,2,222,valid,UInt8,3
219,1,"TypeError(:<:, """", Type, 0xdb)",error,TypeError,27.0,219,2,219,valid,UInt8,2
218,1,"TypeError(:<:, """", Type, 0xda)",error,TypeError,27.0,218,2,218,valid,UInt8,6
216,1,"TypeError(:<:, """", Type, 0xd8)",error,TypeError,27.0,216,2,216,valid,UInt8,2
214,1,"TypeError(:<:, """", Type, 0xd6)",error,TypeError,27.0,214,2,214,valid,UInt8,4
211,1,"TypeError(:<:, """", Type, 0xd3)",error,TypeError,27.0,211,2,211,valid,UInt8,3
209,1,"TypeError(:<:, """", Type, 0xd1)",error,TypeError,27.0,209,2,209,valid,UInt8,5
206,1,"TypeError(:<:, """", Type, 0xce)",error,TypeError,27.0,206,2,206,valid,UInt8,3
204,1,"TypeError(:<:, """", Type, 0xcc)",error,TypeError,27.0,204,2,204,valid,UInt8,3
201,1,"TypeError(:<:, """", Type, 0xc9)",error,TypeError,27.0,201,2,201,valid,UInt8,3
196,1,"TypeError(:<:, """", Type, 0xc4)",error,TypeError,27.0,196,2,196,valid,UInt8,4
194,1,"TypeError(:<:, """", Type, 0xc2)",error,TypeError,27.0,194,2,194,valid,UInt8,2
193,1,"TypeError(:<:, """", Type, 0xc1)",error,TypeError,27.0,193,2,193,valid,UInt8,3
190,1,"TypeError(:<:, """", Type, 0xbe)",error,TypeError,27.0,190,2,190,valid,UInt8,4
185,1,"TypeError(:<:, """", Type, 0xb9)",error,TypeError,27.0,185,2,185,valid,UInt8,2
184,1,"TypeError(:<:, """", Type, 0xb8)",error,TypeError,27.0,184,2,184,valid,UInt8,4
181,1,"TypeError(:<:, """", Type, 0xb5)",error,TypeError,27.0,181,2,181,valid,UInt8,3
179,1,"TypeError(:<:, """", Type, 0xb3)",error,TypeError,27.0,179,2,179,valid,UInt8,3
177,1,"TypeError(:<:, """", Type, 0xb1)",error,TypeError,27.0,177,2,177,valid,UInt8,2
176,1,"TypeError(:<:, """", Type, 0xb0)",error,TypeError,27.0,176,2,176,valid,UInt8,6
169,1,"TypeError(:<:, """", Type, 0xa9)",error,TypeError,27.0,169,2,169,valid,UInt8,2
168,1,"TypeError(:<:, """", Type, 0xa8)",error,TypeError,27.0,168,2,168,valid,UInt8,3
165,1,"TypeError(:<:, """", Type, 0xa5)",error,TypeError,27.0,165,2,165,valid,UInt8,3
162,1,"TypeError(:<:, """", Type, 0xa2)",error,TypeError,27.0,162,2,162,valid,UInt8,2
157,1,"TypeError(:<:, """", Type, 0x9d)",error,TypeError,27.0,157,2,157,valid,UInt8,2
154,1,"TypeError(:<:, """", Type, 0x9a)",error,TypeError,27.0,154,2,154,valid,UInt8,3
153,1,"TypeError(:<:, """", Type, 0x99)",error,TypeError,27.0,153,2,153,valid,UInt8,4
151,1,"TypeError(:<:, """", Type, 0x97)",error,TypeError,27.0,151,2,151,valid,UInt8,4
150,1,"TypeError(:<:, """", Type, 0x96)",error,TypeError,27.0,150,2,150,valid,UInt8,5
146,1,"TypeError(:<:, """", Type, 0x92)",error,TypeError,27.0,146,2,146,valid,UInt8,4
145,1,"TypeError(:<:, """", Type, 0x91)",error,TypeError,27.0,145,2,145,valid,UInt8,5
142,1,"TypeError(:<:, """", Type, 0x8e)",error,TypeError,27.0,142,2,142,valid,UInt8,2
140,1,"TypeError(:<:, """", Type, 0x8c)",error,TypeError,27.0,140,2,140,valid,UInt8,7
135,1,"TypeError(:<:, """", Type, 0x87)",error,TypeError,27.0,135,2,135,valid,UInt8,2
133,1,"TypeError(:<:, """", Type, 0x85)",error,TypeError,27.0,133,2,133,valid,UInt8,3
132,1,"TypeError(:<:, """", Type, 0x84)",error,TypeError,27.0,132,2,132,valid,UInt8,4
126,1,"TypeError(:<:, """", Type, 126)",error,TypeError,26.0,126,2,126,valid,Int64,4
125,1,"TypeError(:<:, """", Type, 125)",error,TypeError,26.0,125,2,125,valid,Int64,5
125,1,"TypeError(:<:, """", Type, 0x7d)",error,TypeError,27.0,125,2,125,valid,UInt8,2
124,1,"TypeError(:<:, """", Type, 124)",error,TypeError,26.0,124,2,124,valid,Int64,2
124,1,"TypeError(:<:, """", Type, 0x7c)",error,TypeError,27.0,124,2,124,valid,UInt8,4
123,1,"TypeError(:<:, """", Type, 0x7b)",error,TypeError,27.0,123,2,123,valid,UInt8,2
