A,i,output,outputtype,datatype,metric,n_A,n_i,n_output,n_outputtype,n_datatype,count
38735,1,"TypeError(:<:, """", Type, 0x974f)",error,TypeError,27.0,38735,2,38735,valid,UInt16,2
18490,1,"TypeError(:<:, """", Type, 0x483a)",error,TypeError,27.0,18490,2,18490,valid,UInt16,2
5642,1,"TypeError(:<:, """", Type, 0x160a)",error,TypeError,28.0,5642,2,5642,valid,UInt16,2
255,1,"TypeError(:<:, """", Type, 0xff)",error,TypeError,27.0,255,2,255,valid,UInt8,3
250,1,"TypeError(:<:, """", Type, 0xfa)",error,TypeError,27.0,250,2,250,valid,UInt8,5
249,1,"TypeError(:<:, """", Type, 0xf9)",error,TypeError,27.0,249,2,249,valid,UInt8,4
247,1,"TypeError(:<:, """", Type, 0xf7)",error,TypeError,27.0,247,2,247,valid,UInt8,3
246,1,"TypeError(:<:, """", Type, 0xf6)",error,TypeError,27.0,246,2,246,valid,UInt8,2
244,1,"TypeError(:<:, """", Type, 0xf4)",error,TypeError,27.0,244,2,244,valid,UInt8,5
236,1,"TypeError(:<:, """", Type, 0xec)",error,TypeError,27.0,236,2,236,valid,UInt8,2
230,1,"TypeError(:<:, """", Type, 0xe6)",error,TypeError,27.0,230,2,230,valid,UInt8,2
229,1,"TypeError(:<:, """", Type, 0xe5)",error,TypeError,27.0,229,2,229,valid,UInt8,4
228,1,"TypeError(:<:, """", Type, 0xe4)",error,TypeError,27.0,228,2,228,valid,UInt8,2
226,1,"TypeError(:<:, """", Type, 0xe2)",error,TypeError,27.0,226,2,226,valid,UInt8,4
222,1,"TypeError(:<:, """", Type, 0xde)",error,TypeError,27.0,222,2,222,valid,UInt8,2
221,1,"TypeError(:<:, """", Type, 0xdd)",error,TypeError,27.0,221,2,221,valid,UInt8,2
219,1,"TypeError(:<:, """", Type, 0xdb)",error,TypeError,27.0,219,2,219,valid,UInt8,4
218,1,"TypeError(:<:, """", Type, 0xda)",error,TypeError,27.0,218,2,218,valid,UInt8,3
217,1,"TypeError(:<:, """", Type, 0xd9)",error,TypeError,27.0,217,2,217,valid,UInt8,2
216,1,"TypeError(:<:, """", Type, 0xd8)",error,TypeError,27.0,216,2,216,valid,UInt8,2
215,1,"TypeError(:<:, """", Type, 0xd7)",error,TypeError,27.0,215,2,215,valid,UInt8,4
201,1,"TypeError(:<:, """", Type, 0xc9)",error,TypeError,27.0,201,2,201,valid,UInt8,2
199,1,"TypeError(:<:, """", Type, 0xc7)",error,TypeError,27.0,199,2,199,valid,UInt8,3
197,1,"TypeError(:<:, """", Type, 0xc5)",error,TypeError,27.0,197,2,197,valid,UInt8,5
196,1,"TypeError(:<:, """", Type, 0xc4)",error,TypeError,27.0,196,2,196,valid,UInt8,4
194,1,"TypeError(:<:, """", Type, 0xc2)",error,TypeError,27.0,194,2,194,valid,UInt8,3
193,1,"TypeError(:<:, """", Type, 0xc1)",error,TypeError,27.0,193,2,193,valid,UInt8,4
192,1,"TypeError(:<:, """", Type, 0xc0)",error,TypeError,27.0,192,2,192,valid,UInt8,3
188,1,"TypeError(:<:, """", Type, 0xbc)",error,TypeError,27.0,188,2,188,valid,UInt8,4
187,1,"TypeError(:<:, """", Type, 0xbb)",error,TypeError,27.0,187,2,187,valid,UInt8,3
183,1,"TypeError(:<:, """", Type, 0xb7)",error,TypeError,27.0,183,2,183,valid,UInt8,2
182,1,"TypeError(:<:, """", Type, 0xb6)",error,TypeError,27.0,182,2,182,valid,UInt8,5
179,1,"TypeError(:<:, """", Type, 0xb3)",error,TypeError,27.0,179,2,179,valid,UInt8,2
178,1,"TypeError(:<:, """", Type, 0xb2)",error,TypeError,27.0,178,2,178,valid,UInt8,4
177,1,"TypeError(:<:, """", Type, 0xb1)",error,TypeError,27.0,177,2,177,valid,UInt8,4
176,1,"TypeError(:<:, """", Type, 0xb0)",error,TypeError,27.0,176,2,176,valid,UInt8,4
175,1,"TypeError(:<:, """", Type, 0xaf)",error,TypeError,27.0,175,2,175,valid,UInt8,2
170,1,"TypeError(:<:, """", Type, 0xaa)",error,TypeError,27.0,170,2,170,valid,UInt8,5
169,1,"TypeError(:<:, """", Type, 0xa9)",error,TypeError,27.0,169,2,169,valid,UInt8,4
166,1,"TypeError(:<:, """", Type, 0xa6)",error,TypeError,27.0,166,2,166,valid,UInt8,5
165,1,"TypeError(:<:, """", Type, 0xa5)",error,TypeError,27.0,165,2,165,valid,UInt8,2
162,1,"TypeError(:<:, """", Type, 0xa2)",error,TypeError,27.0,162,2,162,valid,UInt8,2
161,1,"TypeError(:<:, """", Type, 0xa1)",error,TypeError,27.0,161,2,161,valid,UInt8,3
159,1,"TypeError(:<:, """", Type, 0x9f)",error,TypeError,27.0,159,2,159,valid,UInt8,3
