bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
117,1,3,2,1,3.617570220903828e-19,0.0,1241813,1.6962573904490145e-19,4.1043118196151634e-19,0.41328667630522825,-4778117097759489312,-2434843045348739769,-4477853050912240287,-4313614417724916831,81671942586629909,-3707194171060020630,"ArgumentError(""Month: -2434843045348739769 out of range (1:12)"")","ArgumentError(""Month: 81671942586629909 out of range (1:12)"")"
115,0,2,2,1,1.098145239773888e-17,0.0,19776358,1.649174815987748e-19,3.2919791221303763e-19,0.5009675805357169,1198918511658226677,-1641375531224827582,-4522112448823490304,566196392775195568,859038136269419981,-4994421547262635285,"ArgumentError(""Month: -1641375531224827582 out of range (1:12)"")","ArgumentError(""Month: 859038136269419981 out of range (1:12)"")"
114,1,1,2,1,2.18860837682568e-18,0.0,5187078,1.6115440105024007e-19,1.263591714934612e-17,0.012753676614489312,-4036009276869134424,-2254824982873324128,644385581430045597,-5203853900022637195,-134501388525242110,22284751604765579,"ArgumentError(""Month: -2254824982873324128 out of range (1:12)"")","ArgumentError(""Month: -134501388525242110 out of range (1:12)"")"
116,1,1,2,1,8.74826882745979e-18,0.0,14491073,1.5919766662960643e-19,1.8758352609211003e-18,0.08486761601412421,-3711073981839752293,-2214505689873621902,44361630331872442,-5684846883558925363,-693339970978372489,-1254555831490085609,"ArgumentError(""Month: -2214505689873621902 out of range (1:12)"")","ArgumentError(""Month: -693339970978372489 out of range (1:12)"")"
116,1,3,2,1,1.3019246059342957e-18,0.0,2042862,1.4391108888575687e-19,2.4067398234554286e-19,0.5979503371458714,-980230630078857724,-1994797941484271207,-3276119746608512993,-2188819007820054511,16798702314614597,-4490811415833384699,"ArgumentError(""Month: -1994797941484271207 out of range (1:12)"")","ArgumentError(""Month: 16798702314614597 out of range (1:12)"")"
112,0,2,2,1,1.340643528066668e-17,0.0,24489470,1.438691524593264e-19,2.7979054310423988e-18,0.051420305655479545,5308861277930474091,3084051673122998833,5897694027348823207,4249551840466905182,21489686124575680,5755953130393019789,"ArgumentError(""Month: 3084051673122998833 out of range (1:12)"")","ArgumentError(""Month: 21489686124575680 out of range (1:12)"")"
112,1,1,2,1,2.347709636840892e-18,0.0,5297191,1.2871393115422487e-19,3.496372049557394e-17,0.0036813568273009957,7017963892499398146,-1593140874821423730,481357382075555132,7444485457914574582,1889654869506126273,82261199227753783,"ArgumentError(""Month: -1593140874821423730 out of range (1:12)"")","ArgumentError(""Month: 1889654869506126273 out of range (1:12)"")"
113,0,3,2,1,1.921312830454813e-19,0.0,941737,1.274093057261948e-19,3.6651733120260863e-19,0.3476215034856392,1599069190650526824,-3144019391804145224,6827019113338076092,1166387175118133983,64572540668334436,7682647862789220847,"ArgumentError(""Month: -3144019391804145224 out of range (1:12)"")","ArgumentError(""Month: 64572540668334436 out of range (1:12)"")"
116,2,0,2,1,1.1227838759656652e-17,0.0,20591453,1.2530499216494226e-19,3.916866199323495e-18,0.03199113418441111,-2259619311699974708,-3538108623101318748,-3788703678627200492,5377963765224263,-5685137686221505740,-3585390629833518304,"ArgumentError(""Month: -3538108623101318748 out of range (1:12)"")","ArgumentError(""Month: -5685137686221505740 out of range (1:12)"")"
110,0,0,2,1,1.0312144618144097e-17,0.0,17069530,1.2432255569903814e-19,1.42698341726813e-15,8.712263519995618e-5,81314275141051112,6230591672400854018,557118467642794552,908339741043865946,8897918569669209780,2442771909783909755,"ArgumentError(""Month: 6230591672400854018 out of range (1:12)"")","ArgumentError(""Month: 8897918569669209780 out of range (1:12)"")"
118,0,1,2,1,8.151602738602846e-18,0.0,13509420,1.2370348089687368e-19,2.3969805322153814e-18,0.051608045720146996,-5695589225666592033,-1653407713798292398,-464490588050620946,-4413949829030622020,1057158664577585187,-2486617572454363644,"ArgumentError(""Month: -1653407713798292398 out of range (1:12)"")","ArgumentError(""Month: 1057158664577585187 out of range (1:12)"")"
117,0,2,2,1,1.110253376749171e-17,0.0,19937062,1.2108136975282923e-19,3.0344448061370647e-19,0.39902314093156727,-2124970350947979076,-2558598250492671183,-2375085755822384022,-894452877493640147,398154277626399561,-4217585070957672956,"ArgumentError(""Month: -2558598250492671183 out of range (1:12)"")","ArgumentError(""Month: 398154277626399561 out of range (1:12)"")"
113,2,2,2,1,1.885575548431742e-17,0.0,28151596,1.201852419496199e-19,5.019520322982874e-19,0.23943571141514824,-2586347807381302132,16294450756240171,-7721782550033221485,-4680342221609878,1458564628056138841,-6987826644355903519,"ArgumentError(""Month: 16294450756240171 out of range (1:12)"")","ArgumentError(""Month: 1458564628056138841 out of range (1:12)"")"
115,1,1,2,1,4.5731537902431354e-18,0.0,8950775,1.1994091667573845e-19,3.73260314663215e-18,0.03213331607030301,-4289799875965250005,-310160678200313852,2935488835597765682,-3781226816854285001,-2029020151729207917,95780129539795270,"ArgumentError(""Month: -310160678200313852 out of range (1:12)"")","ArgumentError(""Month: -2029020151729207917 out of range (1:12)"")"
116,2,4,2,1,9.491703667293268e-18,0.0,15989570,1.1568463826890864e-19,2.5698373771775627e-19,0.4501632644006618,-6050467476363024165,-1355098003016210099,-7909674040347477494,-8995869605880474809,9278294950120552,-6650613838947058682,"ArgumentError(""Month: -1355098003016210099 out of range (1:12)"")","ArgumentError(""Month: 9278294950120552 out of range (1:12)"")"
111,0,2,2,1,1.3262566128207352e-17,0.0,23680397,1.1456037609973714e-19,2.9614832617447804e-18,0.03868344541385083,1770800596856570833,823527447257991374,663858591512000701,504991977763104932,-2534230047848243168,288591459108135087,"ArgumentError(""Month: 823527447257991374 out of range (1:12)"")","ArgumentError(""Month: -2534230047848243168 out of range (1:12)"")"
112,2,4,2,1,4.029458204961249e-18,0.0,7362904,1.0976540158060143e-19,2.705942151562383e-19,0.40564578040673943,-2642511370527935824,-2847511128093646048,7431230242446317973,-97800873522430784,7185398435441254,6558752530976457787,"ArgumentError(""Month: -2847511128093646048 out of range (1:12)"")","ArgumentError(""Month: 7185398435441254 out of range (1:12)"")"
114,1,3,2,1,3.6313788973146185e-18,0.0,7115298,1.0083628813096421e-19,2.9452130504778e-19,0.34237349353930646,3362460061999934653,-2867482845082499342,1061106925855001359,3009658520974981437,71704814146497064,-1821780977075160330,"ArgumentError(""Month: -2867482845082499342 out of range (1:12)"")","ArgumentError(""Month: 71704814146497064 out of range (1:12)"")"
115,2,1,2,1,1.8508383480421373e-17,0.0,27821279,9.811345571295992e-20,1.3986403115870278e-18,0.07014916908953614,-6624399697195224335,1702798374001157652,-948163405215613,-5127210746645626087,-1205224826977287901,-3092261735430966768,"ArgumentError(""Month: 1702798374001157652 out of range (1:12)"")","ArgumentError(""Month: -1205224826977287901 out of range (1:12)"")"
112,1,2,2,1,1.7722364966165217e-17,0.0,27441059,9.712334597986126e-20,2.3063897658929244e-18,0.042110551918036164,3455988766361066140,3463607515096893400,-2194235874044815726,1622928844301673769,64804345802121108,142166445772868285,"ArgumentError(""Month: 3463607515096893400 out of range (1:12)"")","ArgumentError(""Month: 64804345802121108 out of range (1:12)"")"
116,1,2,2,1,4.453212873567397e-18,0.0,8855147,9.697159596527054e-20,2.042003158811564e-18,0.047488465209675555,-8394031944056534708,44772777622679967,-3647366548814737921,-4096603067439154825,-694537866383496751,-4050943328177602293,"ArgumentError(""Month: 44772777622679967 out of range (1:12)"")","ArgumentError(""Month: -694537866383496751 out of range (1:12)"")"
110,1,2,2,1,3.0983851432976955e-18,0.0,6202327,9.469096841925593e-20,2.0037180394943453e-17,0.004725763133976274,766721251955559092,200416688821176645,2878740740686525961,-2644635084984266240,5050206894448763,4918340194915985733,"ArgumentError(""Month: 200416688821176645 out of range (1:12)"")","ArgumentError(""Month: 5050206894448763 out of range (1:12)"")"
