bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
9,0,6,1,1,0.008473357117902905,0.9245283018867925,0.00916505973977253,148.0,3.0,44.0,-30.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.008455277040414124,0.9473684210526316,0.008925014653770463,-69.0,-74.0,4.0,11.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,11,0,1,0.008380019039424886,1.0,0.008380019039424886,117.0,28.0,1.0,0.0,Normal,Underweight
10,0,10,1,1,0.008308651151863862,0.0861244019138756,0.09647267170775262,-74.0,-53.0,11.0,23.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,0.00830099281904192,0.9473684210526316,0.00876215908676647,-30.0,54.0,83.0,38.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
13,0,10,1,1,0.008295580961439043,0.04730932131526633,0.1753477059236977,79.0,2011.0,-12.0,1942.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.008267734868043835,0.0861244019138756,0.09599758819006453,44.0,62.0,-39.0,-17.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.008247658384035319,0.9473684210526316,0.008705861627592836,45.0,69.0,132.0,-6.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.008229589837826961,0.9473684210526316,0.008686789273261792,37.0,80.0,53.0,-34.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.008198714101156608,0.9473684210526316,0.008654198217887531,-3.0,-74.0,43.0,32.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,0.008138891946895372,0.9473684210526316,0.00859105261061178,1.0,175.0,-69.0,82.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,1,10,1,1,0.00811348166962051,0.06698906348083082,0.12111651138311876,2.0,1.0,-95.0,-64.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,10,1,1,0.008099237067553524,0.07840476839390854,0.10330031238486222,69.0,377.0,-32.0,436.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
13,0,10,1,1,0.008092438064491836,0.04730932131526633,0.17105377628574167,38.0,1871.0,-58.0,1938.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,10,1,1,0.00808506722949443,0.0861244019138756,0.09387661394246309,-46.0,-27.0,63.0,16.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
15,2,10,1,1,0.00799930004249185,0.04595411842793678,0.17407145031050913,11.0,35773.0,-88.0,35838.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.007973758521872145,0.9473684210526316,0.008416745106420598,-8.0,-65.0,62.0,31.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,10,1,1,0.007969243369459218,0.07840476839390854,0.10164233034171385,118.0,101.0,92.0,-15.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,20,0,1,0.007910721671373426,0.7857142857142857,0.010068191218111634,38.0,4.0,46.0,103.0,Obese,Severely obese
9,0,10,1,1,0.007833772710897377,0.9473684210526316,0.00826898230594723,-70.0,30.0,35.0,90.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,10,1,1,0.007826284465436678,0.07840476839390854,0.09981898583153931,-98.0,105.0,20.0,132.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,9,1,1,0.007809818700302138,0.03371302489153529,0.2316558281384901,-22.0,17.0,103.0,28.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
9,1,10,1,1,0.007753343056196474,0.009473684210526316,0.8184084337096278,1.0,47.0,-120.0,30.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.007714685628763299,0.9473684210526316,0.008143279274805704,54.0,89.0,-44.0,15.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
11,0,14,0,1,0.007692695799834534,0.025714140061926526,0.2991620867471541,210.0,53.0,116.0,134.0,Underweight,Severely obese
9,0,10,1,1,0.007675089033888451,0.9473684210526316,0.008101482869104474,17.0,69.0,97.0,-25.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
