x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
-1000000000,32821353305652401314568272931882708250,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,32821353305652401314568272931882708250,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
311086489222286675936140480156745246192,-10,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,311086489222286675936140480156745246192,-9,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-1000000000,250645758109260493654974540258046349830,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,250645758109260493654974540258046349830,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
6491115585456481734,-1000,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,6491115585456481734,-999,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
9804357303155196130,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,9804357303155196130,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
-1000,147305454042384432467120833107326728915,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,-999,147305454042384432467120833107326728915,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
-10,315540345225994465825238278158281199013,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,315540345225994465825238278158281199013,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
314969302019036158510918104306697374837,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,314969302019036158510918104306697374837,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
-10000,60658930989513913539329063251831620979,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,60658930989513913539329063251831620979,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
13498075448181402754,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,13498075448181402754,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-100000000,12903526625442978153,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,-99999999,12903526625442978153,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
140877050900122033988233864243838695073,-10,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,140877050900122033988233864243838695073,-9,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
10824974091645673248,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,10824974091645673248,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10000,243622034401090372326656390399043719006,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,243622034401090372326656390399043719006,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-10,284213013406948399443131218353456552664,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,284213013406948399443131218353456552664,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-1000000000,290856178375206302892681047433555589605,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,290856178375206302892681047433555589605,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-10000,18027284076965994185,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,18027284076965994185,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-10000,228490339765481944185550775456997771984,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,228490339765481944185550775456997771984,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-1000000000,292143761184749065134263544995016978556,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,292143761184749065134263544995016978556,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-10000,285424228272854372305608490942958784721,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,285424228272854372305608490942958784721,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
17306885326266345565,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,17306885326266345565,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
-100,247833233148306357351924149155197588825,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,247833233148306357351924149155197588825,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
15676797345707220009,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,15676797345707220009,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
276381765318346776860750136603586589675,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,276381765318346776860750136603586589675,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-10,18051762909238112338811555302921824157,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,18051762909238112338811555302921824157,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
144493500673074531322515453413084466685,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,144493500673074531322515453413084466685,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
11991889957918859455,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,11991889957918859455,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
287956328133637319922424735970704825221,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,287956328133637319922424735970704825221,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
3325905116390810604,-1000,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,3325905116390810604,-999,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
7889557739648278242,-100000000,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,7889557739648278242,-99999999,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
135413616477021105144014544789408612546,-1000,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,135413616477021105144014544789408612546,-999,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
-100000000,222005533874931523468573540056590171795,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,-99999999,222005533874931523468573540056590171795,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
16458517361605356284,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,16458517361605356284,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-1000,15192507353404047871897096791478432408,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,-999,15192507353404047871897096791478432408,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
12988085535892075474,-1000,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,12988085535892075474,-999,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
4539888121892727370,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,4539888121892727370,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
430387507343086505,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,430387507343086505,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-10,170506678291119828470403427682501991313,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,170506678291119828470403427682501991313,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-10000,6243831894803241027,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,6243831894803241027,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-100,6824254593032510664,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,6824254593032510664,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
