x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
-1000,198713443294284608251197265416138682549,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,-999,198713443294284608251197265416138682549,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
-1000,1670361769704492730,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,-999,1670361769704492730,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
218008283506795168877381831995113254889,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,218008283506795168877381831995113254889,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
204208344640170781606535719476128024184,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,204208344640170781606535719476128024184,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-100,58025013069414422070053825822568845836,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,58025013069414422070053825822568845836,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
-10000,17259008024607120027,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,17259008024607120027,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
-10000,163488778677045644489516454177744833535,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,163488778677045644489516454177744833535,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
34883598464632803641892871858137149240,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,34883598464632803641892871858137149240,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
-100,1775889530483314048,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,1775889530483314048,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
66347238277779139653774499364566270125,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,66347238277779139653774499364566270125,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
338731266516629679088348930617596277051,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,338731266516629679088348930617596277051,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
3592499347499777789,-1000,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,3592499347499777789,-999,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
-1000,1966438768714262306,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,-999,1966438768714262306,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
-1000,321106178757564897033820147806480004888,"InexactError(:check_top_bit, UInt128, -1000)",error,InexactError,1.0,-999,321106178757564897033820147806480004888,"InexactError(:check_top_bit, UInt128, -999)",error,InexactError,1
-10000,6564714190685385394,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,6564714190685385394,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
193952164201368304929992333782789161207,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,193952164201368304929992333782789161207,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
92958519632350024267215175589002858899,-100000000,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,92958519632350024267215175589002858899,-99999999,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
4530829500868970813,-1000,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,4530829500868970813,-999,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
321587390914771981421612395901048542698,-10000,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,321587390914771981421612395901048542698,-9999,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
336397744347802940755292022450041317369,-10,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,336397744347802940755292022450041317369,-9,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-1000000000,122378014379411827753843441696354583973,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,-999999999,122378014379411827753843441696354583973,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-1000000000,16785652637699997173,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,16785652637699997173,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10000,283313573421564869694501924170344977156,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,283313573421564869694501924170344977156,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
2568926190555202286,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,2568926190555202286,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-100,147157822877505565366976460423361288413,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,-99,147157822877505565366976460423361288413,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
292829327513320429850013303021806657342,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,292829327513320429850013303021806657342,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
1966967347415175425,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,1966967347415175425,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
6084091144799069278,-10,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,6084091144799069278,-9,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
