x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
-100000000,176981035333312096805457890257572474687,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,-99999999,176981035333312096805457890257572474687,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
-1000,16971354931564683532,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,-999,16971354931564683532,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
-1000000000,13093225359468181832,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,-999999999,13093225359468181832,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-100,16762888500104165155,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,-99,16762888500104165155,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
98825074238542277727104248602785039445,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,98825074238542277727104248602785039445,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
9470760980523428433,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,9470760980523428433,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
16921030141655096400,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,16921030141655096400,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
-100000000,6297810566151083090,"InexactError(:check_top_bit, UInt64, -100000000)",error,InexactError,1.0,-99999999,6297810566151083090,"InexactError(:check_top_bit, UInt64, -99999999)",error,InexactError,1
122158706966312269904923949186057444159,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,122158706966312269904923949186057444159,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
13982447987033094284,-1000000000,"InexactError(:check_top_bit, UInt64, -1000000000)",error,InexactError,1.0,13982447987033094284,-999999999,"InexactError(:check_top_bit, UInt64, -999999999)",error,InexactError,1
-10000,6187880165263957431,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,-9999,6187880165263957431,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
339908239686716346923760207362559594340,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,339908239686716346923760207362559594340,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
31062924986873592813359124989946749516,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,31062924986873592813359124989946749516,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
-100000000,325890453656050496411303839383731031761,"InexactError(:check_top_bit, UInt128, -100000000)",error,InexactError,1.0,-99999999,325890453656050496411303839383731031761,"InexactError(:check_top_bit, UInt128, -99999999)",error,InexactError,1
57922981547218456180547704228187117063,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,57922981547218456180547704228187117063,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
119555022973038645563074788764248841391,-100,"InexactError(:check_top_bit, UInt128, -100)",error,InexactError,1.0,119555022973038645563074788764248841391,-99,"InexactError(:check_top_bit, UInt128, -99)",error,InexactError,1
-10000,242532124441010204242548276485361180872,"InexactError(:check_top_bit, UInt128, -10000)",error,InexactError,1.0,-9999,242532124441010204242548276485361180872,"InexactError(:check_top_bit, UInt128, -9999)",error,InexactError,1
10926802585120231924,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,10926802585120231924,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
