x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
218,false,DivideError(),error,DivideError,1.0,218,true,"(0xda, 0x01)",valid,"Tuple{UInt8, UInt8}",6
217,false,DivideError(),error,DivideError,1.0,217,true,"(0xd9, 0x01)",valid,"Tuple{UInt8, UInt8}",14
216,false,DivideError(),error,DivideError,1.0,216,true,"(0xd8, 0x01)",valid,"Tuple{UInt8, UInt8}",11
215,0,DivideError(),error,DivideError,5.0,215,1,"(215, 1)",valid,"Tuple{Int64, Int64}",3
214,false,DivideError(),error,DivideError,1.0,214,true,"(0xd6, 0x01)",valid,"Tuple{UInt8, UInt8}",13
213,false,DivideError(),error,DivideError,1.0,213,true,"(0xd5, 0x01)",valid,"Tuple{UInt8, UInt8}",5
213,0,DivideError(),error,DivideError,5.0,213,1,"(213, 1)",valid,"Tuple{Int64, Int64}",4
212,false,DivideError(),error,DivideError,1.0,212,true,"(0xd4, 0x01)",valid,"Tuple{UInt8, UInt8}",10
211,false,DivideError(),error,DivideError,1.0,211,true,"(0xd3, 0x01)",valid,"Tuple{UInt8, UInt8}",8
210,false,DivideError(),error,DivideError,1.0,210,true,"(0xd2, 0x01)",valid,"Tuple{UInt8, UInt8}",10
209,false,DivideError(),error,DivideError,1.0,209,true,"(0xd1, 0x01)",valid,"Tuple{UInt8, UInt8}",14
209,0,DivideError(),error,DivideError,5.0,209,1,"(209, 1)",valid,"Tuple{Int64, Int64}",2
208,false,DivideError(),error,DivideError,1.0,208,true,"(0xd0, 0x01)",valid,"Tuple{UInt8, UInt8}",7
207,false,DivideError(),error,DivideError,1.0,207,true,"(0xcf, 0x01)",valid,"Tuple{UInt8, UInt8}",10
205,0,DivideError(),error,DivideError,5.0,205,1,"(205, 1)",valid,"Tuple{Int64, Int64}",3
205,false,DivideError(),error,DivideError,1.0,205,true,"(0xcd, 0x01)",valid,"Tuple{UInt8, UInt8}",6
204,false,DivideError(),error,DivideError,1.0,204,true,"(0xcc, 0x01)",valid,"Tuple{UInt8, UInt8}",7
203,0,DivideError(),error,DivideError,5.0,203,1,"(203, 1)",valid,"Tuple{Int64, Int64}",2
202,false,DivideError(),error,DivideError,1.0,202,true,"(0xca, 0x01)",valid,"Tuple{UInt8, UInt8}",7
201,false,DivideError(),error,DivideError,1.0,201,true,"(0xc9, 0x01)",valid,"Tuple{UInt8, UInt8}",13
200,false,DivideError(),error,DivideError,1.0,200,true,"(0xc8, 0x01)",valid,"Tuple{UInt8, UInt8}",7
199,false,DivideError(),error,DivideError,1.0,199,true,"(0xc7, 0x01)",valid,"Tuple{UInt8, UInt8}",6
198,false,DivideError(),error,DivideError,1.0,198,true,"(0xc6, 0x01)",valid,"Tuple{UInt8, UInt8}",14
197,false,DivideError(),error,DivideError,1.0,197,true,"(0xc5, 0x01)",valid,"Tuple{UInt8, UInt8}",9
196,false,DivideError(),error,DivideError,1.0,196,true,"(0xc4, 0x01)",valid,"Tuple{UInt8, UInt8}",10
195,0,DivideError(),error,DivideError,5.0,195,1,"(195, 1)",valid,"Tuple{Int64, Int64}",4
195,false,DivideError(),error,DivideError,1.0,195,true,"(0xc3, 0x01)",valid,"Tuple{UInt8, UInt8}",6
194,false,DivideError(),error,DivideError,1.0,194,true,"(0xc2, 0x01)",valid,"Tuple{UInt8, UInt8}",15
193,false,DivideError(),error,DivideError,1.0,193,true,"(0xc1, 0x01)",valid,"Tuple{UInt8, UInt8}",5
192,0,DivideError(),error,DivideError,5.0,192,1,"(192, 1)",valid,"Tuple{Int64, Int64}",3
191,false,DivideError(),error,DivideError,1.0,191,true,"(0xbf, 0x01)",valid,"Tuple{UInt8, UInt8}",3
190,false,DivideError(),error,DivideError,1.0,190,true,"(0xbe, 0x01)",valid,"Tuple{UInt8, UInt8}",7
189,false,DivideError(),error,DivideError,1.0,189,true,"(0xbd, 0x01)",valid,"Tuple{UInt8, UInt8}",11
188,false,DivideError(),error,DivideError,1.0,188,true,"(0xbc, 0x01)",valid,"Tuple{UInt8, UInt8}",5
187,false,DivideError(),error,DivideError,1.0,187,true,"(0xbb, 0x01)",valid,"Tuple{UInt8, UInt8}",16
186,0,DivideError(),error,DivideError,5.0,186,1,"(186, 1)",valid,"Tuple{Int64, Int64}",4
186,false,DivideError(),error,DivideError,1.0,186,true,"(0xba, 0x01)",valid,"Tuple{UInt8, UInt8}",8
185,false,DivideError(),error,DivideError,1.0,185,true,"(0xb9, 0x01)",valid,"Tuple{UInt8, UInt8}",4
184,false,DivideError(),error,DivideError,1.0,184,true,"(0xb8, 0x01)",valid,"Tuple{UInt8, UInt8}",3
184,0,DivideError(),error,DivideError,5.0,184,1,"(184, 1)",valid,"Tuple{Int64, Int64}",2
183,false,DivideError(),error,DivideError,1.0,183,true,"(0xb7, 0x01)",valid,"Tuple{UInt8, UInt8}",16
182,false,DivideError(),error,DivideError,1.0,182,true,"(0xb6, 0x01)",valid,"Tuple{UInt8, UInt8}",5
181,false,DivideError(),error,DivideError,1.0,181,true,"(0xb5, 0x01)",valid,"Tuple{UInt8, UInt8}",11
179,false,DivideError(),error,DivideError,1.0,179,true,"(0xb3, 0x01)",valid,"Tuple{UInt8, UInt8}",3
178,false,DivideError(),error,DivideError,1.0,178,true,"(0xb2, 0x01)",valid,"Tuple{UInt8, UInt8}",6
177,false,DivideError(),error,DivideError,1.0,177,true,"(0xb1, 0x01)",valid,"Tuple{UInt8, UInt8}",10
175,0,DivideError(),error,DivideError,5.0,175,1,"(175, 1)",valid,"Tuple{Int64, Int64}",2
174,0,DivideError(),error,DivideError,1.0,174,1,"(0xae, 0x01)",valid,"Tuple{UInt8, UInt8}",9
174,0,DivideError(),error,DivideError,5.0,174,1,"(174, 1)",valid,"Tuple{Int64, Int64}",2
173,false,DivideError(),error,DivideError,1.0,173,true,"(0xad, 0x01)",valid,"Tuple{UInt8, UInt8}",5
172,false,DivideError(),error,DivideError,1.0,172,true,"(0xac, 0x01)",valid,"Tuple{UInt8, UInt8}",3
172,0,DivideError(),error,DivideError,5.0,172,1,"(172, 1)",valid,"Tuple{Int64, Int64}",3
