x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
-1000,17699116197691374313,"InexactError(:check_top_bit, UInt64, -1000)",error,InexactError,1.0,-999,17699116197691374313,"InexactError(:check_top_bit, UInt64, -999)",error,InexactError,1
54997986169533808666168169481592192561,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,54997986169533808666168169481592192561,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
100470040109079986701783146441067605502,-1000000000,"InexactError(:check_top_bit, UInt128, -1000000000)",error,InexactError,1.0,100470040109079986701783146441067605502,-999999999,"InexactError(:check_top_bit, UInt128, -999999999)",error,InexactError,1
-10,6027991486123888176,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,6027991486123888176,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-10,12439286575839992649,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,12439286575839992649,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-10,227304999691383080974975978061679100190,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,227304999691383080974975978061679100190,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
-10,9481802863542473025,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,9481802863542473025,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-10,13415229275186787641,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,-9,13415229275186787641,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
-10,27622543086465857368078224554768282058,"InexactError(:check_top_bit, UInt128, -10)",error,InexactError,1.0,-9,27622543086465857368078224554768282058,"InexactError(:check_top_bit, UInt128, -9)",error,InexactError,1
9780438428969613831,-10,"InexactError(:check_top_bit, UInt64, -10)",error,InexactError,1.0,9780438428969613831,-9,"InexactError(:check_top_bit, UInt64, -9)",error,InexactError,1
16838717202908497706,-100,"InexactError(:check_top_bit, UInt64, -100)",error,InexactError,1.0,16838717202908497706,-99,"InexactError(:check_top_bit, UInt64, -99)",error,InexactError,1
17650432946215735219,-10000,"InexactError(:check_top_bit, UInt64, -10000)",error,InexactError,1.0,17650432946215735219,-9999,"InexactError(:check_top_bit, UInt64, -9999)",error,InexactError,1
