bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
50,70,15,2,1,4.289998007666494e-20,5.188851187944884e-18,0.008267722184119154,0.0,-106,-503855304144900126,41574,8.008932312032212e18,43.0,"ArgumentError(""Month: -106 out of range (1:12)"")","ArgumentError(""Month: 8008932312032212185 out of range (1:12)"")"
63,39,13,2,1,4.250251140163675e-20,6.06525042940484e-14,7.007544353911758e-7,-2.0,-9130276981135682177,338846174121,25822173638433,3.86243e6,-4.95345e6,"ArgumentError(""Month: -9130276981135682177 out of range (1:12)"")","ArgumentError(""Month: 3862430 out of range (1:12)"")"
49,36,15,2,1,4.100342827063835e-20,3.76232865274643e-13,1.0898417457684515e-7,155.0,5421,-117,-193533105,8.903630268905846e18,2.94687803e8,"ArgumentError(""Month: 5421 out of range (1:12)"")","ArgumentError(""Month: 8903630268905846065 out of range (1:12)"")"
52,39,4,2,1,4.091474186051238e-20,0.4576271186440678,8.940628776926779e-20,7.10970983e8,6054938,43,841162441137,-70.0,5.640246529135457e18,"ArgumentError(""Month: 6054938 out of range (1:12)"")","ArgumentError(""Month: -70 out of range (1:12)"")"
46,38,2,2,1,4.0414555910042197e-20,6.335131527421482e-13,6.379434386659322e-8,2180.0,3998628,609530,-16356,2.223788328185079e19,863.0,"ArgumentError(""Month: 3998628 out of range (1:12)"")","InexactError(:Int64, Int64, 22237883281850791649)"
44,47,8,2,1,3.91304404097474e-20,4.3405305992550316e-15,9.015128338563812e-6,-2.0,-284,7931033342239621874,1,1.54245779537e11,523307.0,"ArgumentError(""Month: -284 out of range (1:12)"")","ArgumentError(""Month: 154245779537 out of range (1:12)"")"
62,60,1,2,1,3.876095579981678e-20,1.7953502477801813e-16,0.00021589634583971487,-2.3153083795812344e19,16925598997223238,-115658997530,868,20052.0,-14.0,"InexactError(:Int64, Int64, -23153083795812343864)","ArgumentError(""Month: 20052 out of range (1:12)"")"
46,40,16,2,1,3.545021178206978e-20,1.173032827537432e-15,3.022098866277342e-5,-491688.0,-8644563671075857776,2000129,11,-758.0,-56556.0,"ArgumentError(""Month: -8644563671075857776 out of range (1:12)"")","ArgumentError(""Month: -758 out of range (1:12)"")"
63,33,6,2,1,3.476458943372544e-20,7.884523321079473e-14,4.4092189239622675e-7,-3.508446614851e12,273907446,7457567124543761402,951257930345,-15.0,-19843.0,"ArgumentError(""Month: 273907446 out of range (1:12)"")","ArgumentError(""Month: -15 out of range (1:12)"")"
41,48,6,2,1,3.4188989281162776e-20,2.2759714034158166e-15,1.5021713027611578e-5,-7.58312148765697e18,933943778,57516,99,-20.0,18.0,"ArgumentError(""Month: 933943778 out of range (1:12)"")","ArgumentError(""Month: -20 out of range (1:12)"")"
53,45,12,2,1,3.396808920147573e-20,9.315821316757947e-15,3.6462795975242216e-6,8.78017047900734e18,24,-82437183,-4,-1.139311567702e12,-107875.0,"ArgumentError(""Month: 24 out of range (1:12)"")","ArgumentError(""Month: -1139311567702 out of range (1:12)"")"
49,60,7,2,1,3.2211324471534336e-20,1.464068223890733e-16,0.00022001245533444724,-1.0,-1086771,-19,-6695976587276662139,0.0,-3.6691971816178e13,"ArgumentError(""Month: -1086771 out of range (1:12)"")","ArgumentError(""Month: 0 out of range (1:12)"")"
57,51,10,2,1,3.06247481165431e-20,7.651871656460333e-16,4.00225585209433e-5,378558.0,297,8746689198487158813,0,4.309349098507e12,2.61576037021399e14,"ArgumentError(""Month: 297 out of range (1:12)"")","ArgumentError(""Month: 4309349098507 out of range (1:12)"")"
46,44,8,2,1,3.0406617072550215e-20,3.197087243934199e-13,9.510724841882365e-8,8.809172760588114e18,1834,507599,0,1.31321596236e11,1661.0,"ArgumentError(""Month: 1834 out of range (1:12)"")","ArgumentError(""Month: 131321596236 out of range (1:12)"")"
34,55,9,2,1,2.987826956216847e-20,2.9642285700196786e-17,0.0010079610548376205,72.0,0,0,8209411805377749440,1.530827098e9,5.0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Month: 1530827098 out of range (1:12)"")"
38,46,0,2,1,2.9426072647989206e-20,9.818844244170485e-13,2.996897793287603e-8,11327.0,-2424,126,30452718132779112638,12.0,228.0,"ArgumentError(""Month: -2424 out of range (1:12)"")","InexactError(:Int64, Int64, 30452718132779112638)"
35,55,3,2,1,2.888648187899328e-20,1.3548623707756753e-19,0.21320602374140346,-3.082448609124779e19,-76,-54,-1,312.0,-80.0,"InexactError(:Int64, Int64, -30824486091247786608)","ArgumentError(""Month: 312 out of range (1:12)"")"
34,45,4,2,1,2.7913621213295686e-20,5.256674522275726e-16,5.310129264235155e-5,2.0,0,5970800613547078760,-113,-7309.0,-393.0,"ArgumentError(""Month: 0 out of range (1:12)"")","ArgumentError(""Month: -7309 out of range (1:12)"")"
40,41,5,2,1,2.768111906467489e-20,1.283649412563632e-13,2.1564391954491474e-7,688.0,3431686,3471419,6502627281051873560,37.0,-1.0,"ArgumentError(""Month: 3431686 out of range (1:12)"")","ArgumentError(""Month: 37 out of range (1:12)"")"
43,78,3,2,1,2.7303475574451744e-20,4.508098966844606e-19,0.06056538637518535,3.3207003204178063e19,0,12649401022086313,0,47.0,28.0,"InexactError(:Int64, Int64, 33207003204178062553)","ArgumentError(""Month: 47 out of range (1:12)"")"
29,49,2,2,1,2.6585610936606742e-20,3.77443827535862e-18,0.007043594038925108,0.0,3398,-7,1,21.0,6.269055357203657e18,"ArgumentError(""Month: 3398 out of range (1:12)"")","ArgumentError(""Month: 21 out of range (1:12)"")"
59,54,0,2,1,2.6443381689538567e-20,2.0027986196503023e-15,1.3203215455658593e-5,9.755342340387406e16,7489,33937875284993472069,33768213862,13486.0,77.0,"InexactError(:Int64, Int64, 33937875284993472069)","ArgumentError(""Month: 13486 out of range (1:12)"")"
48,58,4,2,1,2.6441782737263674e-20,3.316121653485069e-17,0.0007973707089266388,3.4289165585993765e19,303,20629705626757,15242977,0.0,-9.0,"InexactError(:Int64, Int64, 34289165585993766758)","ArgumentError(""Month: 0 out of range (1:12)"")"
45,56,8,2,1,2.619571196297804e-20,3.967525391666582e-17,0.0006602531648064483,1.0,-36,33932610426666967115,-6,1.114657648659e12,948964.0,"InexactError(:Int64, Int64, 33932610426666967115)","ArgumentError(""Month: 1114657648659 out of range (1:12)"")"
64,70,5,2,1,2.59443388174717e-20,1.3787914294919606e-19,0.18816724750770564,1.0,-9033730747,183,-34257413804084671718,-3.2826799796704737e18,8.9764382e7,"ArgumentError(""Month: -9033730747 out of range (1:12)"")","InexactError(:Int64, Int64, -34257413804084671718)"
40,52,1,2,1,2.584047346053902e-20,8.15282796596487e-15,3.1695104531107144e-6,-1.96649645e8,3424,0,33927874042279792971,-18.0,16.0,"ArgumentError(""Month: 3424 out of range (1:12)"")","InexactError(:Int64, Int64, 33927874042279792971)"
