bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
7,0,9,1,1,27.700986502978466,-460.0,7808732,0.49,0.49,1.0,20,1,20,-1,Obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,7,1,1,23.5110947308474,-495.5,6171290,0.48,0.48,1.0,23,-1,23,1,"DomainError(""Height or Weight cannot be negative."", """")",Normal
10,0,16,0,1,29.516336856244163,-356.0,11070073,0.4472135954999579,0.4472135954999579,1.0,101,23,100,25,Normal,Obese
6,0,12,0,1,14.503291104156864,-477.5,4842519,0.41666666666666663,0.41666666666666663,1.0,36,3,36,2,Overweight,Underweight
7,0,20,0,1,32.2739181755171,-193.5,17738953,0.39285714285714285,0.7857142857142857,0.5,52,10,52,8,Severely obese,Obese
9,0,16,0,1,33.89181246362191,-181.0,18904598,0.3535533905932738,0.3535533905932738,1.0,98,24,100,22,Obese,Normal
7,0,19,0,1,39.27875530572715,-43.0,26096990,0.3,0.45,0.6666666666666666,53,7,53,10,Overweight,Severely obese
7,0,17,0,1,38.42796059419246,-55.5,24575871,0.24253562503633297,0.3333333333333333,0.7276068751089989,53,6,52,10,Normal,Severely obese
9,0,19,0,1,29.789506355306653,-128.5,11902038,0.18,0.18,1.0,101,25,98,29,Overweight,Severely obese
8,0,19,0,1,36.89726748976971,-79.0,20805581,0.17650452162436564,0.40249223594996214,0.43852900965351466,98,29,99,24,Severely obese,Overweight
8,0,13,0,1,28.163002464894966,-154.5,8536126,0.16666666666666666,0.2773500981126146,0.6009252125773314,96,17,96,23,Underweight,Obese
10,0,13,0,1,29.069123260744206,-112.0,9998782,0.15811388300841897,0.15811388300841897,1.0,102,19,100,25,Underweight,Obese
7,0,8,1,1,37.30317800789417,-51.0,22838487,0.14828143953032227,0.3006535947712418,0.49319696191607193,45,5,44,-1,Overweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,11,0,1,27.84384364583561,-126.5,7823881,0.14285714285714285,1.0,0.14285714285714285,92,16,92,9,Normal,Underweight
9,0,13,0,1,32.538259073028634,-63.0,18740855,0.1414213562373095,0.15811388300841897,0.8944271909999159,100,18,99,25,Underweight,Obese
8,0,17,0,1,38.978755305727155,-29.0,25820655,0.1414213562373095,0.2773500981126146,0.5099019513592784,99,22,98,29,Normal,Severely obese
10,0,19,0,1,38.83512768935348,-21.5,25532361,0.14055638569974546,0.18,0.7808688094430304,122,37,117,41,Overweight,Severely obese
9,0,17,0,1,34.17200350558945,-57.5,19300312,0.13736056394868904,0.14907119849998599,0.9214426752509268,98,29,100,22,Severely obese,Normal
7,0,14,0,1,37.11304513858948,-26.0,22784754,0.10353499123163136,0.2315112784437724,0.4472135954999579,33,1,35,10,Underweight,Severely obese
8,0,12,0,1,39.37981181615896,-13.5,26185831,0.1010565104318054,0.14731391274719738,0.6859943405700354,95,21,96,17,Overweight,Underweight
6,0,9,1,1,38.60499664693071,-21.0,24839500,0.09609690621771018,0.09609690621771018,1.0,19,1,9,-1,Obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,10,1,1,28.911009377735787,-79.5,9228452,0.09426668117778846,0.09473684210526316,0.9950371902099893,0,0,-10,1,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,1,10,1,1,32.384641769788104,-46.5,18531082,0.09426668117778846,0.6698906348083082,0.14071950894605836,0,386,-10,387,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,12,0,1,29.609506355306653,-78.0,11840473,0.09316949906249122,0.09316949906249122,1.0,100,23,102,19,Overweight,Underweight
10,1,6,1,1,37.39173175879198,-22.5,22915000,0.08855375089780457,0.6537402316630345,0.13545709229571928,157,-10,160,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,1,6,1,1,27.927546505384353,-80.5,7832727,0.08370285954874356,0.09245283018867925,0.9053574604251853,-10,1,1,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,12,0,1,30.82855959439437,-45.5,16537941,0.08333333333333333,0.08333333333333333,1.0,99,23,102,19,Overweight,Underweight
14,3,10,1,1,38.508899740713,-17.5,24587067,0.08093914652053526,0.09426668117778846,0.8586188196005622,-11,34549,0,34553,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,9,1,1,35.92629025828014,-28.0,20352122,0.07922830417853544,0.0890909090909091,0.8892972917998875,22,-11,19,1,"DomainError(""Height or Weight cannot be negative."", """")",Obese
5,0,20,0,1,24.796772940605376,-83.0,6777024,0.07857142857142857,0.07857142857142857,1.0,19,1,9,1,Obese,Severely obese
8,0,14,0,1,38.69457130365373,-8.0,25321175,0.07717042614792413,0.15692630606420468,0.4917622040778217,94,28,97,16,Severely obese,Underweight
10,0,6,1,1,37.0037447026406,-26.0,21472568,0.07677789646855204,0.08404802744425387,0.9135002783911396,146,-2,145,10,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
5,0,11,0,1,39.55963281548692,-2.0,29335166,0.07669649888473705,0.08304547985373997,0.9235481451827989,9,0,22,1,Underweight,Normal
6,0,7,1,1,33.9647999120638,-31.0,19049653,0.07298744844189173,0.0789115139065715,0.9249277428425253,9,-1,22,1,"DomainError(""Height or Weight cannot be negative."", """")",Normal
8,0,10,1,1,39.45474833918137,-7.5,26621444,0.07265984104869826,0.6698906348083082,0.10846522890932808,21,2,22,-11,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,17,0,1,34.03464294164076,-29.5,19243587,0.06984302957695782,0.14907119849998599,0.46852128566581813,127,36,113,39,Normal,Severely obese
7,0,13,0,1,21.316707930260673,-69.0,5756495,0.06142951168339512,0.3333333333333333,0.18428853505018536,93,8,96,24,Underweight,Obese
8,1,10,1,1,27.996335798228298,-52.0,8474574,0.06089914861893711,0.06698906348083082,0.9090909090909091,-11,-10,0,1,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,14,0,1,39.631866937448706,-1.0,29659924,0.058637261152331706,0.08537714095908289,0.686802819743445,124,28,113,40,Underweight,Severely obese
5,0,17,0,1,10.239139045059897,-39.0,4695455,0.04343722427630694,0.08333333333333333,0.5212466913156834,9,1,32,2,Severely obese,Normal
11,0,6,1,1,37.154896568363846,-13.5,22821409,0.04185142977437178,0.08108649612461213,0.5161331636534808,142,11,140,-11,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,1,6,1,1,31.881061032659957,-14.5,17530521,0.03327450168555286,0.062190503595885495,0.5350415218016388,-13,-24,1,0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,14,0,1,36.92696680617205,-13.5,21428190,0.02969931640233672,0.08862732049359294,0.3351033996845673,97,16,100,48,Underweight,Severely obese
7,0,12,0,1,19.913980233359275,-34.5,5272808,0.028616784155976877,0.20833333333333331,0.137360563948689,94,21,90,7,Overweight,Underweight
11,0,7,1,1,31.847786530974403,-5.0,17010533,0.01922693658003551,0.03090349343902322,0.6221606181182351,156,-11,129,31,"DomainError(""Height or Weight cannot be negative."", """")",Normal
5,0,19,0,1,0.9815689509703012,-12.5,1826848,0.01683493318986885,0.045,0.37410962644153,0,0,53,7,Severely obese,Overweight
14,0,16,0,1,35.847061954101605,-3.5,19795533,0.013687077150699011,0.03434014098717226,0.3985737028805971,731,1462,804,1465,Obese,Normal
