bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,i1_1,i1_2,i2_1,i2_2,output1,output2,fitness_max,fitness_ratio_max
17,11,9,0,1,5.867721445889548e-8,-19.0,2.0,-1.7042409e7,3968.0,in,out,9.998795317963593e-8,0.5868428404917683
18,13,9,0,1,5.36808957569861e-8,-1.8628533e7,-10945.0,65.0,2.0,out,in,9.99591929302351e-8,0.5370281030025104
17,14,6,1,1,4.50789118273694e-8,4.433734e6,2.1316299e7,0.0,0.0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")",9.751962367208743e-7,0.04622547763201851
18,16,6,1,1,3.7593709818421136e-8,0.0,0.0,2.5469939e7,-5.734885e6,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,6.746623345905943e-7,0.05572225970082374
21,10,9,0,1,3.6276818277877664e-8,2.6438534e7,-7.802373e6,-14.0,14.0,out,in,6.830457533127374e-7,0.053110378187605924
18,17,9,0,1,3.568285048845651e-8,0.0,7.0,-2.8024268e7,-149524.0,in,out,9.990106683002268e-8,0.3571818762373112
19,12,9,0,1,3.382288312081659e-8,-17746.0,-2.9565819e7,1.0,-42.0,out,in,9.99718097860485e-8,0.3383242055255532
18,7,9,0,1,3.019161583864418e-8,-23.0,-1.0,3.312171e7,54652.0,in,out,9.998152543085697e-7,0.03019719464024725
18,16,9,0,1,2.487766750653227e-8,1.0,1.0,3.6971487e7,1.5776042e7,in,out,6.88076614701143e-7,0.03615537423450666
17,15,6,1,1,1.7574212198273185e-8,0.0,0.0,-5.5847815e7,-28729.0,"DomainError(""The point should not be at the origin (0, 0)"", """")",out,9.788983953714098e-8,0.17953050369037787
21,14,9,0,1,1.65236038068567e-8,-4.9680615e7,3.4560692e7,0.0,-46.0,out,in,9.875144568813311e-8,0.1673251838665723
19,18,9,0,1,1.3358308821925291e-8,2.7914757e7,-6.9460438e7,2.0,0.0,out,in,9.908432607105531e-8,0.13481757762923863
20,16,9,0,1,1.1053292500933907e-8,2.220517e7,-8.7703429e7,-1.0,6.0,out,in,9.922787324401841e-8,0.11139302032355324
14,19,9,0,1,9.978605371153977e-9,-1.00214413e8,1.0,-8.0,0.0,out,in,9.999929600495611e-9,0.9978675620535791
22,17,9,0,1,9.604094236477785e-9,15.0,-4.0,-1.0313791e8,1.4283326e7,in,out,6.480834125311224e-8,0.14819225505199263
15,17,9,0,1,9.542719831842804e-9,1.0,11.0,-1.04791926e8,52.0,in,out,9.999905600891125e-9,0.9542809915118019
