bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
76,4,6,1,1,9.581129427711644e-19,9.581129427711644e-19,1.0,-8841681210101332591,4423572669699617,-8875364781473676570,-1038751044058016655,out,"DomainError(-7.784624627828048e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
73,1,6,1,1,9.469010332365856e-19,9.469010332365856e-19,1.0,500930794038687166,-1000689449571863009,553357040993446378,54085038550981722,"DomainError(-6.162933084024254e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
79,0,0,2,1,9.373642579760217e-19,1.97658881431602e-18,0.47423331103914385,-852815429580410675,-5727282602431090731,-1115209128727388287,-5858503460194372795,"DomainError(-4.2423954859147315e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.212963873779053e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
78,1,6,1,1,9.2422159595158e-19,1.083016126821157e-18,0.8533775010944049,-1657468839510011633,-1082836917171014391,-2023992325227882525,-64816117273073027,"DomainError(-8.771773938543708e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",out
77,2,6,1,1,9.096214724224391e-19,9.948615873847748e-19,0.914319623912298,-5367632633307961222,62139946139898053,-5493242758293956372,-1030018912438963690,out,"DomainError(-1.9354276634456425e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
75,1,6,1,1,8.875463409604476e-19,1.808486263393704e-18,0.49076753245276405,29233687361480183,3165753463367022512,-1090326126077852364,3292412920429764806,out,"DomainError(-1.2191525126491228e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
74,5,0,2,1,8.78893623214634e-19,8.78893623214634e-19,1.0,-4930616440937455521,-287586749646597212,-5081068756616776669,586342041394661,"DomainError(-3.299415313472544e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-7.850174336811177e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
70,0,0,2,1,7.590080525859551e-19,0.29166666666666663,2.6023133231518464e-18,45472400927521928,503399186048071552,86732424117635221,170990147816987716,"DomainError(-1.0053104868390154e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-4.04825242347562e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
72,0,0,2,1,7.266222603772788e-19,0.2975206611570248,2.442258152934743e-18,567262617073993300,-310061025243740245,549042645331404226,54125866989066191,"DomainError(-5.971418131454208e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-1.0072389185098546e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
76,2,0,2,1,6.680368717286269e-19,2.054270545702024e-18,0.325194202451232,-3922293926783622697,-179529246009810825,-3609597328027273290,43054719270495697,"DomainError(-8.543754255479695e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-4.5239422183638374e17, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
73,4,0,2,1,6.348874437107399e-19,2.5158054634804614e-18,0.25235951385224054,-7909585775426037466,3624033784592778,-8221441395682453723,48137482663594764,"DomainError(-1.0835088435085189e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")","DomainError(-1.9281858212132813e18, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")"
