bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
6,8,4,0,1,3.092005206672636,-19.5,412119,0.0009891196834817012,0.000999000999000999,0.9901088031651829,-1011,0,-1011B,0B
40,0,0,0,1,20.075715520322095,1.0,29909527,0.0009671179883945841,0.7142857142857143,0.0013539651837524177,-9876855576947319326,-9876855576947319702,-9876855576947319326B,-9876855576947319702B
7,4,3,0,1,4.916407108354673,-29.5,2915751,0.0009380863039399625,0.0010090817356205853,0.9296435272045028,46,-1020,46B,-1020B
8,0,1,0,1,15.969701332600057,-5.0,24699538,0.0008278145695364238,0.7777777777777778,0.001064333017975402,-196,1012,-196B,1.0 kB
24,0,2,0,1,19.46365178471751,1.0,29546688,0.0008110300081103001,1.0,0.0008110300081103001,999950000481,999949999248,1.0 TB,999.9 GB
9,0,0,0,1,4.916821263406466,-21.0,4967473,0.00040404040404040404,0.00980392156862745,0.041212121212121214,-1463,1012,-1463B,1.0 kB
18,0,2,0,1,18.77873515042354,-1.5,28823820,0.0002871912693854107,1.0,0.0002871912693854107,999949574,999953056,999.9 MB,1.0 GB
7,0,3,0,1,4.113997467036315,-28.5,2277898,0.00011107408641563923,0.00011168192986374804,0.9945573697656337,960,9963,960B,10.0 kB
8,2,3,0,1,4.11541354401268,-22.0,2613520,0.00011016855789357717,0.00011108642523883582,0.9917373581579817,972,10049,972B,10.0 kB
10,2,2,0,1,9.250456008905436,-13.0,14781126,0.00010795638562020944,0.000111000111000111,0.9725790780524668,-743,-10006,-743B,-10006B
6,2,4,0,1,4.113884701674808,-25.5,1991103,0.0001007252215954875,0.00010150223304912708,0.9923448831587429,9954,26,10.0 kB,26B
5,4,5,0,1,3.1028743717032086,-22.5,1430634,0.00010049241282283188,0.00010058338362502515,0.9990955682845946,0,9951,0B,10.0 kB
9,4,3,0,1,3.102663728325563,-16.5,1225447,0.00010022048506714773,0.00010098969905069682,0.9923832431348969,-10006,-28,-10006B,-28B
6,8,5,0,1,4.115303375454786,-26.5,2593308,9.975062344139652e-5,0.00010009008107296567,0.9966084788029926,6,10031,6B,10.0 kB
7,12,5,0,1,3.102772971366953,-22.5,1239493,9.938382031405287e-5,9.999000099990002e-5,0.9939375869608427,7,-10055,7B,-10055B
7,4,4,0,1,3.1025428821459937,-23.0,773047,9.887284951552304e-5,0.000100999899000101,0.9789400830531936,-1,10113,-1B,10.1 kB
8,8,4,0,1,4.11520361483798,-28.0,2548961,9.851246182642104e-5,0.00010009008107296567,0.9842380061077726,32,-10119,32B,-10119B
9,0,2,0,1,3.0910149709809494,-20.5,191859,9.537434430138292e-5,9.890218573830482e-5,0.9643299952312827,10289,-196,10.3 kB,-196B
10,2,1,0,1,6.583579970163854,-18.0,7120567,8.99847026005579e-5,9.088430428065073e-5,0.9901016827139386,1107,-10006,1.1 kB,-10006B
10,0,1,0,1,9.250348052519815,-14.0,14643997,8.346548702111677e-5,0.8181818181818181,0.00010201337302580939,-1868,10113,-1868B,10.1 kB
11,0,0,0,1,4.11546893557604,-19.5,2897620,4.3871194173905417e-5,0.007936507936507936,0.005527770465912083,12495,-10299,12.5 kB,-10299B
12,2,2,0,1,6.583591810806877,-16.0,8244489,1.0943433392792655e-5,1.110790216159776e-5,0.9851935346195516,-8639,-100018,-8639B,-100018B
8,2,4,0,1,3.1024440006253022,-24.5,674565,1.0067553282525747e-5,1.0104174034293567e-5,0.9963756808182906,650,99979,650B,100.0 kB
