bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
12,3,9,0,1,77.7331917602098,0.0,31652521,6.469641466384476e-5,0.000994004355935433,0.06508665105693683,1672,15367,-1,1,out,in
9,6,6,1,1,1.17045101978836,-1.5,1981001,6.181003082909498e-5,9.814814765740742e-5,0.6297625814075164,-15879,1,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
12,3,9,0,1,77.73429713462878,0.0,31652521,6.155484648692954e-5,0.000994004355935433,0.061926133541941875,15582,4595,0,-1,out,in
12,6,9,0,1,77.73440039344551,0.0,31652521,5.4568262857030863e-5,9.994623489140805e-5,0.5459761732527442,-16035,8870,1,0,out,in
11,2,9,0,1,77.73434582518264,0.0,31652521,4.8690553873818856e-5,0.0070337124880089944,0.006922454387611954,20525,699,-1,1,out,in
16,1,9,0,1,2.6183253944361615,0.0,14704792,4.6993740800632746e-5,0.0006697129006344129,0.07016997993635184,19400,-8672,-38,-13,out,in
12,5,9,0,1,77.73379226426992,0.0,31652521,4.332393594476329e-5,0.0007007992407457679,0.06182075182995255,-4213,22695,1,1,out,in
14,5,9,0,1,77.7342093317884,0.0,31652521,4.175945821278978e-5,9.940883870154552e-5,0.42007792021556467,-8230,-22489,0,-1,out,in
13,4,9,0,1,77.7333390807905,0.0,31652521,3.517428092251662e-5,0.0006997592227862846,0.05026626270456358,-27536,7068,1,-1,out,in
15,4,9,0,1,77.73322225334454,0.0,31652521,3.0493134726595542e-5,9.878675559634584e-5,0.30867634575624725,23561,-22811,-1,-1,out,in
13,6,9,0,1,77.73365209391852,0.0,31652521,2.9719517889899498e-5,9.92344417927861e-5,0.2994879333523895,22020,-25443,1,0,out,in
15,6,9,0,1,2.5521965315989665,-0.5,14383731,2.7007054380368553e-5,7.029587341392868e-5,0.384191177501143,-19962,-31189,1,-4,out,in
15,6,9,0,1,77.7342355797823,0.0,31652521,2.624799388076717e-5,7.029587341392868e-5,0.3733930970059801,-29778,-23764,1,-1,out,in
14,8,9,0,1,2.2941496811909716,-1.0,3850672,2.3772201339614013e-5,6.995443798215358e-5,0.33982406299481177,-13133,-39963,1,0,out,in
14,5,9,0,1,77.7341675723302,0.0,31652521,2.3241024615634113e-5,9.940883870154552e-5,0.23379233596532079,-36153,23328,1,-1,out,in
17,2,9,0,1,2.5381108472709566,0.0,11285736,2.3135510865153004e-5,9.890849831230076e-5,0.23390822082955187,40961,-13701,-38,-13,out,in
13,6,6,1,1,2.5371126124621073,-1.5,9315009,2.2890441886628935e-5,9.757212004615945e-5,0.23460023084258,-36494,22509,0,0,out,"DomainError(""The point should not be at the origin (0, 0)"", """")"
16,5,9,0,1,2.7289921586477015,-0.5,17882118,1.1604874854825717e-5,6.649081013147357e-5,0.1745335157126101,-23905,-82729,26,52,out,in
15,5,9,0,1,2.5380876753863526,-0.5,11129305,9.757994646603953e-6,9.996628580736922e-6,0.9761285585229398,-125,-102485,-3,-5,out,in
11,8,9,0,1,1.0843059448132062,-1.5,475690,9.4810993767275e-6,9.99980000349995e-6,0.948128899918908,12,-105473,1,0,out,in
13,8,6,1,1,1.1703864274686964,-4.5,1913408,9.401292183802874e-6,9.81235248528154e-6,0.9581078745290436,0,0,-104336,3614,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
14,6,9,0,1,2.2835931415849116,-1.5,2663125,9.3528742619762e-6,1.0003000738124198e-5,0.9350068551259637,-106929,-22,-10,7,out,in
14,7,9,0,1,1.1136709727944452,-1.5,1057669,8.686616904424283e-6,9.998293526407227e-6,0.8688099505662062,1,-4,6623,-114933,in,out
14,9,6,1,1,1.127305283442755,-4.0,1563752,8.399723425921673e-6,9.787877278836126e-6,0.8581762098799507,0,0,-116255,11746,"DomainError(""The point should not be at the origin (0, 0)"", """")",out
