bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,cumulative_fitness,curiosity,elapsed_millis,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
12,0,18,0,0,118.46837269772372,0.0,29999457,1.0,1.0,1.0,360,324,360,323,Obese,Overweight
10,0,15,0,0,124.46215683385822,0.0,29999457,1.0,1.0,1.0,119,33,119,32,Overweight,Normal
10,0,18,0,0,126.16926361504477,0.0,29999457,1.0,1.0,1.0,140,49,141,49,Obese,Overweight
10,0,11,0,0,127.16926361504477,0.0,29999457,1.0,1.0,1.0,135,33,135,34,Underweight,Normal
10,0,15,0,0,128.16926361504477,0.0,29999457,1.0,1.0,1.0,154,55,155,55,Overweight,Normal
10,0,15,0,0,129.16926361504477,0.0,29999457,1.0,1.0,1.0,136,42,136,43,Normal,Overweight
10,0,11,0,0,130.16926361504477,0.0,29999457,1.0,1.0,1.0,148,40,148,41,Underweight,Normal
10,0,15,0,0,131.16926361504477,0.0,29999457,1.0,1.0,1.0,133,40,133,41,Normal,Overweight
10,0,11,0,0,133.51056180026276,0.0,29999457,1.0,1.0,1.0,137,35,138,35,Normal,Underweight
10,0,11,0,0,134.51056180026276,0.0,29999457,1.0,1.0,1.0,122,27,122,28,Underweight,Normal
10,0,11,0,0,135.51056180026276,0.0,29999457,1.0,1.0,1.0,148,40,147,40,Underweight,Normal
8,0,18,0,0,138.01626428769924,0.0,29999457,1.0,1.0,1.0,87,19,87,18,Obese,Overweight
8,0,11,0,0,140.03630274454676,0.0,29999457,1.0,1.0,1.0,95,17,95,16,Normal,Underweight
8,0,11,0,0,141.9434095257333,0.0,29999457,1.0,1.0,1.0,92,15,92,16,Underweight,Normal
6,0,18,0,0,142.9434095257333,0.0,29999457,1.0,1.0,1.0,45,5,44,5,Overweight,Obese
12,0,18,0,0,149.45920401920364,0.0,29999457,1.0,1.0,1.0,206,105,205,105,Overweight,Obese
11,0,18,0,0,150.5939529075299,0.0,29999457,1.0,1.0,1.0,200,100,200,99,Obese,Overweight
12,0,18,0,0,152.3796671932442,0.0,29999457,1.0,1.0,1.0,204,103,203,103,Overweight,Obese
12,0,15,0,0,153.7796671932442,0.0,29999457,1.0,1.0,1.0,222,114,223,114,Overweight,Normal
