bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
6,0,11,0,0,1.0,1.0,1.0,23.0,0.0,23.0,1.0,Underweight,Normal
6,0,17,0,0,1.0,1.0,1.0,23.0,1.0,23.0,2.0,Normal,Severely obese
10,0,11,0,0,1.0,1.0,1.0,131.0,32.0,131.0,31.0,Normal,Underweight
10,0,15,0,0,1.0,1.0,1.0,124.0,36.0,124.0,35.0,Overweight,Normal
10,0,18,0,0,1.0,1.0,1.0,121.0,37.0,121.0,36.0,Obese,Overweight
6,0,18,0,0,1.0,1.0,1.0,44.0,5.0,45.0,5.0,Obese,Overweight
6,0,15,0,0,1.0,1.0,1.0,45.0,4.0,45.0,5.0,Normal,Overweight
6,0,16,0,0,1.0,1.0,1.0,44.0,5.0,44.0,4.0,Obese,Normal
7,0,15,0,0,1.0,1.0,1.0,66.0,9.0,66.0,10.0,Normal,Overweight
8,0,15,0,0,1.0,1.0,1.0,67.0,11.0,67.0,10.0,Overweight,Normal
8,0,18,0,0,1.0,1.0,1.0,68.0,11.0,68.0,12.0,Overweight,Obese
8,0,11,0,0,1.0,1.0,1.0,83.0,13.0,84.0,13.0,Normal,Underweight
12,0,18,0,0,1.0,1.0,1.0,364.0,330.0,363.0,330.0,Overweight,Obese
12,0,11,0,0,1.0,1.0,1.0,407.0,305.0,406.0,305.0,Underweight,Normal
6,0,13,0,0,1.0,1.0,1.0,20.0,0.0,20.0,1.0,Underweight,Obese
12,0,15,0,0,1.0,1.0,1.0,376.0,326.0,377.0,326.0,Overweight,Normal
4,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,1.0,0.0,1.0,1.0,Underweight,Severely obese
6,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,15.0,1.0,15.0,0.0,Severely obese,Underweight
5,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,-1.0,0.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,0.0,20.0,-1.0,20.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
5,0,6,1,1,0.9245283018867925,0.9245283018867925,1.0,1.0,0.0,1.0,-1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,6,1,1,0.9245283018867925,0.9245283018867925,1.0,15.0,-1.0,15.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
9,0,6,1,1,0.9245283018867925,0.9245283018867925,1.0,130.0,-1.0,130.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
6,0,20,0,1,0.7857142857142857,0.7857142857142857,1.0,44.0,6.0,44.0,5.0,Severely obese,Obese
10,0,20,0,1,0.7857142857142857,0.7857142857142857,1.0,122.0,44.0,122.0,45.0,Obese,Severely obese
8,0,20,0,1,0.7857142857142857,0.7857142857142857,1.0,68.0,13.0,68.0,14.0,Obese,Severely obese
12,0,20,0,1,0.7857142857142857,0.7857142857142857,1.0,193.0,112.0,194.0,112.0,Severely obese,Obese
11,0,20,0,1,0.7857142857142857,0.7857142857142857,1.0,182.0,99.0,182.0,100.0,Obese,Severely obese
8,0,16,0,1,0.7071067811865476,0.7071067811865476,1.0,66.0,11.0,67.0,10.0,Obese,Normal
9,0,11,0,1,0.7071067811865476,0.7071067811865476,1.0,99.0,18.0,100.0,19.0,Underweight,Normal
9,0,15,0,1,0.7071067811865476,0.7071067811865476,1.0,99.0,22.0,100.0,23.0,Normal,Overweight
9,0,18,0,1,0.7071067811865476,0.7071067811865476,1.0,100.0,24.0,99.0,25.0,Overweight,Obese
5,0,14,0,1,0.6749655638598863,0.6749655638598863,1.0,10.0,1.0,9.0,0.0,Severely obese,Underweight
6,0,10,1,1,0.6698906348083082,0.6698906348083082,1.0,-1.0,-1.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,0,19,0,1,0.6363961030678927,0.9,0.7071067811865475,44.0,6.0,45.0,5.0,Severely obese,Overweight
9,0,20,0,1,0.5555838995037159,0.5555838995037159,1.0,99.0,30.0,100.0,29.0,Severely obese,Obese
7,0,16,0,1,0.5,1.0,0.5,66.0,9.0,66.0,11.0,Normal,Obese
7,0,11,0,1,0.5,1.0,0.5,68.0,10.0,68.0,8.0,Normal,Underweight
7,0,9,1,1,0.49,0.49,1.0,20.0,-1.0,20.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Obese
7,0,7,1,1,0.48,0.48,1.0,23.0,-1.0,23.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
10,0,16,0,1,0.4472135954999579,0.4472135954999579,1.0,100.0,25.0,101.0,23.0,Obese,Normal
6,0,6,1,1,0.41346162602826303,0.6537402316630345,0.6324555320336759,-1.0,-1.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
7,0,20,0,1,0.39285714285714285,0.7857142857142857,0.5,52.0,10.0,52.0,8.0,Severely obese,Obese
9,0,16,0,1,0.3535533905932738,0.3535533905932738,1.0,99.0,25.0,101.0,23.0,Obese,Normal
8,0,19,0,1,0.31819805153394637,0.40249223594996214,0.7905694150420948,70.0,12.0,68.0,14.0,Overweight,Severely obese
7,0,13,0,1,0.31622776601683794,0.3333333333333333,0.9486832980505139,67.0,8.0,66.0,11.0,Underweight,Obese
11,0,18,0,1,0.31622776601683794,1.0,0.31622776601683794,202.0,102.0,203.0,99.0,Obese,Overweight
8,0,17,0,1,0.2773500981126146,0.2773500981126146,1.0,70.0,11.0,68.0,14.0,Normal,Severely obese
8,0,13,0,1,0.24253562503633297,0.2773500981126146,0.8744746321952062,77.0,15.0,78.0,11.0,Obese,Underweight
7,0,19,0,1,0.2182820625326997,0.45,0.48507125007266594,50.0,6.0,49.0,10.0,Overweight,Severely obese
6,0,12,0,1,0.20833333333333331,0.41666666666666663,0.5,45.0,5.0,45.0,3.0,Overweight,Underweight
7,0,12,0,1,0.20833333333333331,0.20833333333333331,1.0,66.0,8.0,66.0,10.0,Underweight,Overweight
7,0,17,0,1,0.19611613513818404,0.3333333333333333,0.5883484054145521,48.0,5.0,49.0,10.0,Normal,Severely obese
10,0,19,0,1,0.18,0.18,1.0,103.0,26.0,100.0,30.0,Overweight,Severely obese
7,0,14,0,1,0.1590909090909091,0.2315112784437724,0.6871842709362768,49.0,4.0,49.0,10.0,Underweight,Severely obese
9,0,13,0,1,0.15617376188860607,0.15811388300841897,0.9877295966495896,102.0,19.0,98.0,24.0,Underweight,Obese
10,0,17,0,1,0.14907119849998599,0.14907119849998599,1.0,100.0,30.0,103.0,24.0,Severely obese,Normal
7,0,8,1,1,0.14828143953032227,0.3006535947712418,0.49319696191607193,46.0,5.0,45.0,-1.0,Overweight,"DomainError(""Height or Weight cannot be negative."", """")"
