bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i2_1,output1,output2
43,0,16,1,1,1.408293461326357e-21,1.9957397523238766e-17,7.056498522347485e-5,3.92690946865473e20,1102770221861311769591,392.7 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.4020931584977458e-21,1.9957397523238766e-17,7.025430830172734e-5,6.145843243800329e20,1327803694961255128495,614.6 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.401764875367982e-21,1.9957397523238766e-17,7.023785910641609e-5,2.882828160626142e20,1001669217428596979639,288.3 EB,"BoundsError(""kMGTPE"", 7)"
41,0,1,0,1,1.3988508134682145e-21,1.0,1.3988508134682145e-21,6.161956221322106e20,31299927534675745142,616.2 EB,31.3 EB
43,0,15,0,1,1.3982496337422798e-21,4.77434885932896e-21,0.2928670851125875,4.652585936223933e20,-249921282608717703999,465.3 EB,-249921282608717703999B
43,0,16,1,1,1.3969453887796562e-21,1.9957397523238766e-17,6.999637037609874e-5,5.379368204003043e20,1253784417616384626753,537.9 EB,"BoundsError(""kMGTPE"", 7)"
36,18,0,0,1,1.3957257579734445e-21,9.999718687093678e-21,0.13957650226449508,6.613599616476793e20,150951625710083,661.4 EB,151.0 TB
43,0,16,1,1,1.3942089732200018e-21,1.9957397523238766e-17,6.985925753077569e-5,3.918411477758615e20,1109093739896571629161,391.8 EB,"BoundsError(""kMGTPE"", 7)"
37,12,2,0,1,1.3926758272213977e-21,1.0000637908702089e-20,0.139258699288528,7.180478921076326e20,5702781238066275,718.0 EB,5.7 PB
43,0,16,1,1,1.3892043716474315e-21,1.9957397523238766e-17,6.960849329326712e-5,4.073272063942863e20,1127163697272960089317,407.3 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.3868174301969573e-21,1.9957397523238766e-17,6.948889145401454e-5,2.8056561245030724e20,1001641060613645428467,280.6 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.385935541229408e-21,1.9957397523238766e-17,6.944470287849901e-5,6.637320257390893e20,1385266303670182588462,663.7 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.3848642378325543e-21,1.9957397523238766e-17,6.939102336464424e-5,3.107133356130541e20,1032805778093261476682,310.7 EB,"BoundsError(""kMGTPE"", 7)"
43,0,15,0,1,1.3811323033508315e-21,4.77434885932896e-21,0.2892818149750689,5.1813487133491724e20,-205908725048899069408,518.1 EB,-205908725048899069408B
41,0,1,0,1,1.371790938211192e-21,1.0,1.371790938211192e-21,5.565362770777038e20,46254440026938419348,556.5 EB,46.3 EB
37,12,2,0,1,1.363742772483207e-21,1.0000637908702089e-20,0.13636557836941,5.866254813083951e20,4590520245262815,586.6 EB,4.6 PB
42,0,14,0,1,1.3632550203446798e-21,8.995053877569137e-21,0.15155607058054574,6.67576025172252e20,-65962443475502570503,667.6 EB,-65962443475502570503B
43,0,16,1,1,1.3610974413689267e-21,1.9957397523238766e-17,6.820014682696175e-5,4.9075032317062965e20,1225451579382123118309,490.8 EB,"BoundsError(""kMGTPE"", 7)"
40,2,2,0,1,1.3574578995398995e-21,1.110646215402337e-19,0.012222234953982657,5.908089566502064e20,1472079041586457528,590.8 EB,1.5 EB
43,0,16,1,1,1.3543831590023096e-21,1.9957397523238766e-17,6.786371606945447e-5,2.8296269604058667e20,1021306194594303398556,283.0 EB,"BoundsError(""kMGTPE"", 7)"
39,4,11,0,1,1.35171995000416e-21,9.998057223039667e-21,0.13519826100707216,7.397231908823332e20,-75019536120961301,739.7 EB,-75019536120961301B
40,2,12,0,1,1.3503742033317212e-21,9.98189905266278e-21,0.1352822941012907,7.402479116748334e20,-287561775964315505,740.2 EB,-287561775964315505B
41,0,13,0,1,1.350292731959482e-21,9.879881522120682e-21,0.13667094376954092,7.371178860322499e20,-3462268427180886168,737.1 EB,-3462268427180886168B
43,0,16,1,1,1.3488401377916649e-21,1.9957397523238766e-17,6.758597338260413e-5,6.621999107655333e20,1403577611489364334515,662.2 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.3456102421285683e-21,1.9957397523238766e-17,6.742413386122688e-5,5.5293474578658814e20,1296091990501178790835,552.9 EB,"BoundsError(""kMGTPE"", 7)"
43,0,15,0,1,1.3411721033629533e-21,4.77434885932896e-21,0.28091204536558656,4.803734247854796e20,-265243038226632434198,480.4 EB,-265243038226632434198B
56,0,0,0,1,1.3383186971164414e-21,0.7142857142857143,1.873646175963018e-21,-9.999452946211991e26,-999944729167874491197492269,-999945294621199164367338370B,-999944729167874491197492269B
43,0,16,1,1,1.3366727079473054e-21,1.9957397523238766e-17,6.697630321743398e-5,2.5543061107437e20,1003556905607363681979,255.4 EB,"BoundsError(""kMGTPE"", 7)"
42,0,14,0,1,1.336104584326609e-21,8.995053877569137e-21,0.14853769666221095,6.48009203757191e20,-40559648406186721476,648.0 EB,-40559648406186721476B
42,0,0,0,1,1.3348204551305041e-21,0.7142857142857143,1.868748637182706e-21,1.9014307485807713e20,814446763140902473901,190.1 EB,814.4 EB
42,0,0,0,1,1.3327487660281618e-21,0.7142857142857143,1.8658482724394264e-21,7.228867574881113e20,272689379487071206004,722.9 EB,272.7 EB
43,0,16,1,1,1.3293261686432793e-21,1.9957397523238766e-17,6.660819213003033e-5,4.714350652870846e20,1223695890048104549576,471.4 EB,"BoundsError(""kMGTPE"", 7)"
43,0,16,1,1,1.3261884806931087e-21,1.9957397523238766e-17,6.64509728359557e-5,2.877488195569102e20,1041789451456659354182,287.7 EB,"BoundsError(""kMGTPE"", 7)"
42,0,0,0,1,1.32174967082726e-21,0.7142857142857143,1.850449539158164e-21,6.697249202079359e20,119490073682466367061,669.7 EB,119.5 EB
42,0,14,0,1,1.317462450108927e-21,8.995053877569137e-21,0.14646520944074254,7.302390826878383e20,-28795833197104522047,730.2 EB,-28795833197104522047B
41,0,13,0,1,1.309009544690498e-21,9.879881522120682e-21,0.13249243341225045,7.25719641857194e20,-8834560164157610372,725.7 EB,-8834560164157610372B
43,0,16,1,1,1.3058163921930837e-21,1.9957397523238766e-17,6.543019402567728e-5,3.939829100640048e20,1159787356982094704288,394.0 EB,"BoundsError(""kMGTPE"", 7)"
42,0,14,0,1,1.3055252116236002e-21,8.995053877569137e-21,0.14513812028176656,7.394925008720559e20,-26482748856260281154,739.5 EB,-26482748856260281154B
43,0,16,1,1,1.294615665693381e-21,1.9957397523238766e-17,6.48689622074174e-5,6.876313692374984e20,1460061385727691065918,687.6 EB,"BoundsError(""kMGTPE"", 7)"
